Date,Year,Quarter,Nationality,Region,Raised or resolved,Raised type / Resolved outcome,Age disputes
2010-01-01,2010,1,Afghanistan,Asia Central,Raised,Existing asylum application,11
2010-01-01,2010,1,Afghanistan,Asia Central,Raised,Asylum application raised in quarter,78
2010-01-01,2010,1,Afghanistan,Asia Central,Resolved,Less than 18,62
2010-01-01,2010,1,Afghanistan,Asia Central,Resolved,18+,56
2010-01-01,2010,1,Albania,Europe Other,Raised,Asylum application raised in quarter,1
2010-01-01,2010,1,Albania,Europe Other,Resolved,Less than 18,2
2010-01-01,2010,1,Albania,Europe Other,Resolved,18+,3
2010-01-01,2010,1,Algeria,Africa North,Raised,Existing asylum application,1
2010-01-01,2010,1,Algeria,Africa North,Raised,Asylum application raised in quarter,4
2010-01-01,2010,1,Algeria,Africa North,Resolved,Less than 18,2
2010-01-01,2010,1,Algeria,Africa North,Resolved,18+,4
2010-01-01,2010,1,Angola,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2010-01-01,2010,1,Angola,Africa Sub-Saharan,Resolved,18+,2
2010-01-01,2010,1,Bangladesh,Asia South,Raised,Asylum application raised in quarter,1
2010-01-01,2010,1,Bangladesh,Asia South,Resolved,Less than 18,1
2010-01-01,2010,1,Bangladesh,Asia South,Resolved,18+,1
2010-01-01,2010,1,Burundi,Africa Sub-Saharan,Resolved,Less than 18,2
2010-01-01,2010,1,Cameroon,Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2010-01-01,2010,1,Cameroon,Africa Sub-Saharan,Resolved,18+,1
2010-01-01,2010,1,China,Asia East,Raised,Asylum application raised in quarter,10
2010-01-01,2010,1,China,Asia East,Resolved,Less than 18,11
2010-01-01,2010,1,China,Asia East,Resolved,18+,12
2010-01-01,2010,1,Congo,Africa Sub-Saharan,Raised,Existing asylum application,1
2010-01-01,2010,1,Congo,Africa Sub-Saharan,Resolved,Less than 18,1
2010-01-01,2010,1,Congo (Democratic Republic),Africa Sub-Saharan,Raised,Asylum application raised in quarter,1
2010-01-01,2010,1,Congo (Democratic Republic),Africa Sub-Saharan,Resolved,Less than 18,7
2010-01-01,2010,1,Congo (Democratic Republic),Africa Sub-Saharan,Resolved,18+,1
2010-01-01,2010,1,Egypt,Africa North,Raised,Asylum application raised in quarter,1
2010-01-01,2010,1,Egypt,Africa North,Resolved,Less than 18,1
2010-01-01,2010,1,Eritrea,Africa Sub-Saharan,Raised,Existing asylum application,1
2010-01-01,2010,1,Eritrea,Africa Sub-Saharan,Raised,Asylum application raised in quarter,6
2010-01-01,2010,1,Eritrea,Africa Sub-Saharan,Resolved,Less than 18,10
