Date,Year,Quarter,Nationality,Region,Outcome,Sex,Appeals determined
2010-01-01,2010,1,Afghanistan,Asia Central,Allowed,Female,5
2010-01-01,2010,1,Afghanistan,Asia Central,Allowed,Male,79
2010-01-01,2010,1,Afghanistan,Asia Central,Dismissed,Female,14
2010-01-01,2010,1,Afghanistan,Asia Central,Dismissed,Male,326
2010-01-01,2010,1,Afghanistan,Asia Central,Dismissed,Unknown Sex,1
2010-01-01,2010,1,Afghanistan,Asia Central,Withdrawn,Male,15
2010-01-01,2010,1,Albania,Europe Other,Allowed,Female,4
2010-01-01,2010,1,Albania,Europe Other,Allowed,Male,4
2010-01-01,2010,1,Albania,Europe Other,Dismissed,Female,3
2010-01-01,2010,1,Albania,Europe Other,Dismissed,Male,14
2010-01-01,2010,1,Albania,Europe Other,Withdrawn,Male,1
2010-01-01,2010,1,Algeria,Africa North,Allowed,Female,1
2010-01-01,2010,1,Algeria,Africa North,Allowed,Male,3
2010-01-01,2010,1,Algeria,Africa North,Dismissed,Female,1
2010-01-01,2010,1,Algeria,Africa North,Dismissed,Male,17
2010-01-01,2010,1,Algeria,Africa North,Withdrawn,Male,2
2010-01-01,2010,1,Angola,Africa Sub-Saharan,Allowed,Female,2
2010-01-01,2010,1,Angola,Africa Sub-Saharan,Dismissed,Female,4
2010-01-01,2010,1,Angola,Africa Sub-Saharan,Withdrawn,Male,1
2010-01-01,2010,1,Azerbaijan,Europe Other,Allowed,Male,2
2010-01-01,2010,1,Azerbaijan,Europe Other,Dismissed,Female,1
2010-01-01,2010,1,Azerbaijan,Europe Other,Dismissed,Male,1
2010-01-01,2010,1,Bangladesh,Asia South,Allowed,Female,1
2010-01-01,2010,1,Bangladesh,Asia South,Allowed,Male,2
2010-01-01,2010,1,Bangladesh,Asia South,Dismissed,Female,11
2010-01-01,2010,1,Bangladesh,Asia South,Dismissed,Male,62
2010-01-01,2010,1,Bangladesh,Asia South,Withdrawn,Male,4
2010-01-01,2010,1,Belarus,Europe Other,Dismissed,Female,1
2010-01-01,2010,1,Belarus,Europe Other,Dismissed,Male,1
2010-01-01,2010,1,Benin,Africa Sub-Saharan,Allowed,Female,1
2010-01-01,2010,1,Bhutan,Asia South,Allowed,Female,1
2010-01-01,2010,1,Bhutan,Asia South,Allowed,Male,1
2010-01-01,2010,1,Bhutan,Asia South,Dismissed,Male,2
2010-01-01,2010,1,Bolivia,America Central and South,Dismissed,Female,1
2010-01-01,2010,1,Bosnia and Herzegovina,Europe Other,Dismissed,Female,1
2010-01-01,2010,1,Botswana,Africa Sub-Saharan,Allowed,Male,1
2010-01-01,2010,1,Botswana,Africa Sub-Saharan,Dismissed,Female,1
2010-01-01,2010,1,Botswana,Africa Sub-Saharan,Dismissed,Male,2
2010-01-01,2010,1,Brazil,America Central and South,Dismissed,Male,1
2010-01-01,2010,1,British overseas citizens,Other,Dismissed,Male,1
2010-01-01,2010,1,Burkina,Africa Sub-Saharan,Allowed,Female,1
2010-01-01,2010,1,Burma,Asia South East,Allowed,Female,9
2010-01-01,2010,1,Burma,Asia South East,Allowed,Male,11
2010-01-01,2010,1,Burma,Asia South East,Dismissed,Female,3
2010-01-01,2010,1,Burma,Asia South East,Dismissed,Male,11
2010-01-01,2010,1,Burma,Asia South East,Withdrawn,Male,4
2010-01-01,2010,1,Burundi,Africa Sub-Saharan,Allowed,Female,1
2010-01-01,2010,1,Burundi,Africa Sub-Saharan,Allowed,Male,1
2010-01-01,2010,1,Burundi,Africa Sub-Saharan,Dismissed,Female,3
2010-01-01,2010,1,Burundi,Africa Sub-Saharan,Dismissed,Male,1
2010-01-01,2010,1,Cameroon,Africa Sub-Saharan,Allowed,Female,3
2010-01-01,2010,1,Cameroon,Africa Sub-Saharan,Allowed,Male,4
2010-01-01,2010,1,Cameroon,Africa Sub-Saharan,Dismissed,Female,10
2010-01-01,2010,1,Cameroon,Africa Sub-Saharan,Dismissed,Male,8
2010-01-01,2010,1,Cameroon,Africa Sub-Saharan,Withdrawn,Female,3
2010-01-01,2010,1,Central African Republic,Africa Sub-Saharan,Dismissed,Male,1
2010-01-01,2010,1,Chad,Africa Sub-Saharan,Allowed,Female,1
2010-01-01,2010,1,Chad,Africa Sub-Saharan,Dismissed,Male,4
2010-01-01,2010,1,China,Asia East,Allowed,Female,13
2010-01-01,2010,1,China,Asia East,Allowed,Male,10
2010-01-01,2010,1,China,Asia East,Dismissed,Female,81
2010-01-01,2010,1,China,Asia East,Dismissed,Male,59
2010-01-01,2010,1,China,Asia East,Dismissed,Unknown Sex,1
2010-01-01,2010,1,China,Asia East,Withdrawn,Male,2
2010-01-01,2010,1,Colombia,America Central and South,Allowed,Male,1
2010-01-01,2010,1,Congo,Africa Sub-Saharan,Allowed,Male,2
2010-01-01,2010,1,Congo,Africa Sub-Saharan,Dismissed,Female,3
2010-01-01,2010,1,Congo,Africa Sub-Saharan,Dismissed,Male,3
2010-01-01,2010,1,Congo (Democratic Republic),Africa Sub-Saharan,Allowed,Female,6
2010-01-01,2010,1,Congo (Democratic Republic),Africa Sub-Saharan,Allowed,Male,8
2010-01-01,2010,1,Congo (Democratic Republic),Africa Sub-Saharan,Dismissed,Female,19
2010-01-01,2010,1,Congo (Democratic Republic),Africa Sub-Saharan,Dismissed,Male,12
2010-01-01,2010,1,Congo (Democratic Republic),Africa Sub-Saharan,Withdrawn,Female,1
2010-01-01,2010,1,Congo (Democratic Republic),Africa Sub-Saharan,Withdrawn,Male,2
2010-01-01,2010,1,Dominican Republic,America Central and South,Dismissed,Male,1
2010-01-01,2010,1,Egypt,Africa North,Allowed,Female,1
2010-01-01,2010,1,Egypt,Africa North,Allowed,Male,2
2010-01-01,2010,1,Egypt,Africa North,Dismissed,Female,2
2010-01-01,2010,1,Egypt,Africa North,Dismissed,Male,10
2010-01-01,2010,1,Eritrea,Africa Sub-Saharan,Allowed,Female,14
2010-01-01,2010,1,Eritrea,Africa Sub-Saharan,Allowed,Male,11
2010-01-01,2010,1,Eritrea,Africa Sub-Saharan,Dismissed,Female,18
2010-01-01,2010,1,Eritrea,Africa Sub-Saharan,Dismissed,Male,21
2010-01-01,2010,1,Eritrea,Africa Sub-Saharan,Withdrawn,Female,4
2010-01-01,2010,1,Ethiopia,Africa Sub-Saharan,Allowed,Female,7
2010-01-01,2010,1,Ethiopia,Africa Sub-Saharan,Allowed,Male,2
2010-01-01,2010,1,Ethiopia,Africa Sub-Saharan,Dismissed,Female,15
2010-01-01,2010,1,Ethiopia,Africa Sub-Saharan,Dismissed,Male,8
2010-01-01,2010,1,"Gambia, The",Africa Sub-Saharan,Allowed,Female,9
2010-01-01,2010,1,"Gambia, The",Africa Sub-Saharan,Allowed,Male,3
2010-01-01,2010,1,"Gambia, The",Africa Sub-Saharan,Dismissed,Female,18
2010-01-01,2010,1,"Gambia, The",Africa Sub-Saharan,Dismissed,Male,9
