Date,Year,Quarter,Nationality,Region,Sex,Appeals lodged
2010-01-01,2010,1,Afghanistan,Asia Central,Female,19
2010-01-01,2010,1,Afghanistan,Asia Central,Male,418
2010-01-01,2010,1,Afghanistan,Asia Central,Unknown Sex,2
2010-01-01,2010,1,Albania,Europe Other,Female,6
2010-01-01,2010,1,Albania,Europe Other,Male,14
2010-01-01,2010,1,Algeria,Africa North,Female,1
2010-01-01,2010,1,Algeria,Africa North,Male,30
2010-01-01,2010,1,Angola,Africa Sub-Saharan,Female,3
2010-01-01,2010,1,Angola,Africa Sub-Saharan,Male,7
2010-01-01,2010,1,Armenia,Europe Other,Female,2
2010-01-01,2010,1,Armenia,Europe Other,Male,3
2010-01-01,2010,1,Azerbaijan,Europe Other,Female,1
2010-01-01,2010,1,Azerbaijan,Europe Other,Male,2
2010-01-01,2010,1,Bangladesh,Asia South,Female,7
2010-01-01,2010,1,Bangladesh,Asia South,Male,71
2010-01-01,2010,1,Belarus,Europe Other,Female,1
2010-01-01,2010,1,Belarus,Europe Other,Male,1
2010-01-01,2010,1,Benin,Africa Sub-Saharan,Female,1
2010-01-01,2010,1,Bhutan,Asia South,Female,1
2010-01-01,2010,1,Bhutan,Asia South,Male,4
2010-01-01,2010,1,Bolivia,America Central and South,Female,1
2010-01-01,2010,1,Botswana,Africa Sub-Saharan,Female,1
2010-01-01,2010,1,Botswana,Africa Sub-Saharan,Male,1
2010-01-01,2010,1,Brazil,America Central and South,Male,2
2010-01-01,2010,1,Burkina,Africa Sub-Saharan,Female,1
2010-01-01,2010,1,Burma,Asia South East,Female,13
2010-01-01,2010,1,Burma,Asia South East,Male,23
2010-01-01,2010,1,Burundi,Africa Sub-Saharan,Female,4
2010-01-01,2010,1,Burundi,Africa Sub-Saharan,Male,2
2010-01-01,2010,1,Cameroon,Africa Sub-Saharan,Female,7
2010-01-01,2010,1,Cameroon,Africa Sub-Saharan,Male,18
2010-01-01,2010,1,Chad,Africa Sub-Saharan,Female,1
2010-01-01,2010,1,Chad,Africa Sub-Saharan,Male,2
2010-01-01,2010,1,Chile,America Central and South,Male,1
2010-01-01,2010,1,China,Asia East,Female,109
2010-01-01,2010,1,China,Asia East,Male,72
2010-01-01,2010,1,Colombia,America Central and South,Male,2
2010-01-01,2010,1,Congo,Africa Sub-Saharan,Female,1
2010-01-01,2010,1,Congo,Africa Sub-Saharan,Male,6
2010-01-01,2010,1,Congo (Democratic Republic),Africa Sub-Saharan,Female,23
2010-01-01,2010,1,Congo (Democratic Republic),Africa Sub-Saharan,Male,16
2010-01-01,2010,1,Congo (Democratic Republic),Africa Sub-Saharan,Unknown Sex,1
2010-01-01,2010,1,Croatia,EU Other,Female,1
2010-01-01,2010,1,Dominican Republic,America Central and South,Male,1
2010-01-01,2010,1,Ecuador,America Central and South,Male,1
2010-01-01,2010,1,Egypt,Africa North,Female,1
2010-01-01,2010,1,Egypt,Africa North,Male,13
2010-01-01,2010,1,Eritrea,Africa Sub-Saharan,Female,33
2010-01-01,2010,1,Eritrea,Africa Sub-Saharan,Male,35
2010-01-01,2010,1,Ethiopia,Africa Sub-Saharan,Female,15
2010-01-01,2010,1,Ethiopia,Africa Sub-Saharan,Male,11
2010-01-01,2010,1,Fiji,Oceania,Male,1
2010-01-01,2010,1,"Gambia, The",Africa Sub-Saharan,Female,27
2010-01-01,2010,1,"Gambia, The",Africa Sub-Saharan,Male,18
2010-01-01,2010,1,Georgia,Europe Other,Female,7
2010-01-01,2010,1,Georgia,Europe Other,Male,8
2010-01-01,2010,1,Ghana,Africa Sub-Saharan,Female,9
2010-01-01,2010,1,Ghana,Africa Sub-Saharan,Male,8
2010-01-01,2010,1,Grenada,America Central and South,Female,1
2010-01-01,2010,1,Grenada,America Central and South,Male,1
2010-01-01,2010,1,Guatemala,America Central and South,Male,1
2010-01-01,2010,1,Guinea,Africa Sub-Saharan,Female,10
2010-01-01,2010,1,Guinea,Africa Sub-Saharan,Male,18
2010-01-01,2010,1,Haiti,America Central and South,Male,1
2010-01-01,2010,1,Honduras,America Central and South,Female,1
2010-01-01,2010,1,Honduras,America Central and South,Male,1
2010-01-01,2010,1,India,Asia South,Female,6
2010-01-01,2010,1,India,Asia South,Male,11
2010-01-01,2010,1,Iran,Middle East,Female,72
2010-01-01,2010,1,Iran,Middle East,Male,391
2010-01-01,2010,1,Iran,Middle East,Unknown Sex,1
2010-01-01,2010,1,Iraq,Middle East,Female,18
2010-01-01,2010,1,Iraq,Middle East,Male,174
2010-01-01,2010,1,Israel,Middle East,Male,1
2010-01-01,2010,1,Ivory Coast,Africa Sub-Saharan,Female,2
2010-01-01,2010,1,Ivory Coast,Africa Sub-Saharan,Male,5
2010-01-01,2010,1,Jamaica,America Central and South,Female,7
2010-01-01,2010,1,Jamaica,America Central and South,Male,17
2010-01-01,2010,1,Jordan,Middle East,Male,3
2010-01-01,2010,1,Kenya,Africa Sub-Saharan,Female,17
2010-01-01,2010,1,Kenya,Africa Sub-Saharan,Male,9
2010-01-01,2010,1,Korea (North),Asia East,Female,4
2010-01-01,2010,1,Korea (North),Asia East,Male,6
2010-01-01,2010,1,Korea (South),Asia East,Male,2
2010-01-01,2010,1,Kosovo,Europe Other,Female,2
2010-01-01,2010,1,Kosovo,Europe Other,Male,1
2010-01-01,2010,1,Kuwait,Middle East,Female,2
2010-01-01,2010,1,Kuwait,Middle East,Male,10
2010-01-01,2010,1,Kyrgyzstan,Asia Central,Male,2
2010-01-01,2010,1,Lebanon,Middle East,Female,2
2010-01-01,2010,1,Lebanon,Middle East,Male,8
2010-01-01,2010,1,Liberia,Africa Sub-Saharan,Female,1
2010-01-01,2010,1,Liberia,Africa Sub-Saharan,Male,3
2010-01-01,2010,1,Libya,Africa North,Female,2
2010-01-01,2010,1,Libya,Africa North,Male,19
2010-01-01,2010,1,Malawi,Africa Sub-Saharan,Female,19
2010-01-01,2010,1,Malawi,Africa Sub-Saharan,Male,10
2010-01-01,2010,1,Malaysia,Asia South East,Female,2
2010-01-01,2010,1,Malaysia,Asia South East,Male,2
2010-01-01,2010,1,Maldives,Asia South,Male,1
2010-01-01,2010,1,Mali,Africa Sub-Saharan,Female,1
