Date,Year,Quarter,Decisions in,Total Applications Received,Of those Applications received the number completed within six months,Of those Applications received the percentage completed within six months,Total Male Applications Received,Of those Male Applications received the number completed within six months,Of those Male Applications received the percentage completed within six months,Total Female Applications Received,Of those Female Applications received the number completed within six months,Of those Female Applications received the percentage completed within six months,Total Unknown Applications Received,Of those Unknown Applications received the number completed within six months,Of those Unknown Straightforward Applications received the percentage completed within six months
2014-04-01,2014,2,6 months,5786,5045,0.8719322502592465,4229,3776,0.8928824781272169,1557,1269,0.815028901734104,0,0,0
2014-07-01,2014,3,6 months,7108,6010,0.8455261676983681,5247,4534,0.8641128263769773,1861,1476,0.7931219774314885,0,0,0
2014-10-01,2014,4,6 months,6874,5391,0.784259528658714,5114,4134,0.8083691826359014,1760,1257,0.7142045454545455,0,0,0
2015-01-01,2015,1,6 months,6170,4999,0.8102106969205835,4514,3760,0.8329641116526363,1656,1239,0.7481884057971014,0,0,0
2015-04-01,2015,2,6 months,6402,5294,0.8269290846610434,4962,4136,0.8335348649738009,1440,1158,0.8041666666666667,0,0,0
2015-07-01,2015,3,6 months,10368,8071,0.7784529320987654,8527,6702,0.7859739650521872,1841,1369,0.7436175991309071,0,0,0
2015-10-01,2015,4,6 months,10347,7600,0.7345124190586644,8413,6293,0.7480090336384168,1934,1307,0.6758014477766288,0,0,0
2016-01-01,2016,1,6 months,8426,5962,0.7075718015665796,6424,4718,0.7344333748443338,2002,1244,0.6213786213786214,0,0,0
2016-04-01,2016,2,6 months,7981,5484,0.6871319383535898,6125,4344,0.7092244897959183,1855,1139,0.6140161725067386,1,1,1
2016-07-01,2016,3,6 months,7351,5126,0.6973200925044212,5427,3916,0.7215772986917266,1924,1210,0.6288981288981289,0,0,0
2016-10-01,2016,4,6 months,7553,5003,0.6623858069641202,5564,3746,0.6732566498921639,1989,1257,0.6319758672699849,0,0,0
2017-01-01,2017,1,6 months,6757,4718,0.6982388634009176,4823,3452,0.7157370930955836,1934,1266,0.6546018614270941,0,0,0
2017-04-01,2017,2,6 months,6360,4276,0.6723270440251572,4663,3167,0.6791764958181429,1697,1109,0.6535061873895109,0,0,0
2017-07-01,2017,3,6 months,6666,4042,0.6063606360636064,4859,2970,0.6112368800164643,1807,1072,0.5932484781405645,0,0,0
2017-10-01,2017,4,6 months,7360,4015,0.545516304347826,5317,2939,0.5527553131465112,2043,1076,0.5266764561918746,0,0,0
2018-01-01,2018,1,6 months,6872,3800,0.5529685681024447,4878,2755,0.5647806478064781,1994,1045,0.5240722166499499,0,0,0
2018-04-01,2018,2,6 months,6745,3787,0.5614529280948851,4837,2831,0.5852801323134174,1908,956,0.5010482180293501,0,0,0
2018-07-01,2018,3,6 months,7615,1958,0.2571240971766251,5594,1522,0.27207722559885594,2021,436,0.21573478476001978,0,0,0
2018-10-01,2018,4,6 months,8802,2207,0.2507384685298796,6604,1756,0.26589945487583283,2198,451,0.2051865332120109,0,0,0
2019-01-01,2019,1,6 months,9150,2354,0.25726775956284154,6857,1899,0.27694326965145105,2293,455,0.198430004361099,0,0,0
2019-04-01,2019,2,6 months,7800,2007,0.2573076923076923,5747,1585,0.2757960675134853,2053,422,0.20555284948855335,0,0,0
2019-07-01,2019,3,6 months,9379,2381,0.25386501759249386,7048,1862,0.2641884222474461,2331,519,0.22265122265122264,0,0,0
2019-10-01,2019,4,6 months,10131,2057,0.20304017372421282,7564,1598,0.21126388154415654,2567,459,0.17880794701986755,0,0,0
2020-01-01,2020,1,6 months,8656,1093,0.12627079482439926,6377,903,0.141602634467618,2278,190,0.08340649692712906,1,0,0
2020-04-01,2020,2,6 months,5061,1111,0.21952183362971744,3940,1010,0.2563451776649746,1121,101,0.09009812667261374,0,0,0
2020-07-01,2020,3,6 months,8896,1763,0.19817895683453238,7213,1605,0.22251490364619436,1683,158,0.09387997623291741,0,0,0
2020-10-01,2020,4,6 months,8619,1156,0.1341222879684418,6788,968,0.1426045963464938,1830,188,0.10273224043715846,1,0,0
2021-01-01,2021,1,6 months,6410,626,0.09765990639625585,5120,543,0.1060546875,1289,82,0.06361520558572537,1,1,1
2021-04-01,2021,2,6 months,9418,593,0.06296453599490337,7963,516,0.06479969860605299,1455,77,0.052920962199312714,0,0,0
