Date,Year,Quarter,Decisions in,Total Applications Received,Of those Applications received the number completed within six months,Of those Applications received the percentage completed within six months,Total Male Applications Received,Of those Male Applications received the number completed within six months,Of those Male Applications received the percentage completed within six months,Total Female Applications Received,Of those Female Applications received the number completed within six months,Of those Female Applications received the percentage completed within six months,Total Unknown Applications Received,Of those Unknown Applications received the number completed within six months,Of those Unknown Straightforward Applications received the percentage completed within six months
2014-06-30,2014,2,6 months,5786,5044,0.8717594192879364,4229,3775,0.8926460156065263,1557,1269,0.815028901734104,0,0,0
2014-09-30,2014,3,6 months,7108,6010,0.8455261676983681,5247,4534,0.8641128263769773,1861,1476,0.7931219774314885,0,0,0
2014-12-31,2014,4,6 months,6876,5391,0.7840314136125655,5114,4133,0.8081736409855299,1762,1258,0.713961407491487,0,0,0
2015-03-31,2015,1,6 months,6172,4999,0.8099481529488011,4513,3759,0.8329270994903611,1659,1240,0.7474382157926461,0,0,0
2015-06-30,2015,2,6 months,6402,5294,0.8269290846610434,4961,4135,0.8335013102197137,1441,1159,0.8043025676613463,0,0,0
2015-09-30,2015,3,6 months,10369,8071,0.7783778570739704,8528,6702,0.7858818011257036,1841,1369,0.7436175991309071,0,0,0
2015-12-31,2015,4,6 months,10347,7600,0.7345124190586644,8413,6293,0.7480090336384168,1934,1307,0.6758014477766288,0,0,0
2016-03-31,2016,1,6 months,8426,5961,0.7074531212912414,6424,4717,0.7342777085927771,2002,1244,0.6213786213786214,0,0,0
2016-06-30,2016,2,6 months,7981,5484,0.6871319383535898,6124,4343,0.7091770084911823,1856,1140,0.6142241379310345,1,1,1
2016-09-30,2016,3,6 months,7353,5126,0.6971304229566163,5429,3916,0.7213114754098361,1924,1210,0.6288981288981289,0,0,0
2016-12-31,2016,4,6 months,7554,5003,0.6622981202012179,5564,3746,0.6732566498921639,1990,1257,0.6316582914572865,0,0,0
2017-03-31,2017,1,6 months,6761,4717,0.6976778583049845,4826,3451,0.7150849564857025,1935,1266,0.6542635658914728,0,0,0
2017-06-30,2017,2,6 months,6359,4276,0.6724327724484982,4662,3166,0.6791076791076791,1696,1109,0.6538915094339622,1,1,1
2017-09-30,2017,3,6 months,6668,4041,0.6060287942411517,4860,2969,0.6109053497942387,1808,1072,0.5929203539823009,0,0,0
2017-12-31,2017,4,6 months,7358,4015,0.5456645827670563,5317,2939,0.5527553131465112,2041,1076,0.5271925526702597,0,0,0
2018-03-31,2018,1,6 months,6874,3801,0.5529531568228105,4879,2756,0.564869850379176,1995,1045,0.5238095238095238,0,0,0
2018-06-30,2018,2,6 months,6746,3787,0.5613697005632967,4838,2831,0.5851591566763126,1908,956,0.5010482180293501,0,0,0
2018-09-30,2018,3,6 months,7616,1958,0.25709033613445376,5593,1521,0.27194707670302165,2023,437,0.21601581809194265,0,0,0
2018-12-31,2018,4,6 months,8806,2207,0.2506245741539859,6607,1756,0.26577871953988197,2199,451,0.20509322419281492,0,0,0
2019-03-31,2019,1,6 months,9151,2354,0.2572396459403344,6858,1899,0.2769028871391076,2293,455,0.198430004361099,0,0,0
2019-06-30,2019,2,6 months,7801,2006,0.2571465196769645,5747,1584,0.2756220636854011,2054,422,0.20545277507302823,0,0,0
2019-09-30,2019,3,6 months,9385,2379,0.2534896110815131,7050,1859,0.26368794326241135,2335,520,0.22269807280513917,0,0,0
2019-12-31,2019,4,6 months,10135,2056,0.20286137148495315,7569,1598,0.21112432289602326,2566,458,0.17848791893998442,0,0,0
2020-03-31,2020,1,6 months,8658,1093,0.12624162624162624,6377,903,0.141602634467618,2280,190,0.08333333333333333,1,0,0
2020-06-30,2020,2,6 months,5063,1110,0.21923760616235433,3939,1009,0.2561563848692562,1124,101,0.0898576512455516,0,0,0
2020-09-30,2020,3,6 months,8907,1766,0.1982710227910632,7213,1606,0.22265354221544434,1694,160,0.09445100354191263,0,0,0
2020-12-31,2020,4,6 months,8678,1143,0.13171237612353076,6825,957,0.1402197802197802,1852,186,0.10043196544276457,1,0,0
2021-03-31,2021,1,6 months,6437,629,0.09771632748174615,5139,548,0.10663553220470909,1297,80,0.06168080185042406,1,1,1
2021-06-30,2021,2,6 months,9501,580,0.06104620566256184,8030,506,0.06301369863013699,1471,74,0.05030591434398368,0,0,0
2021-09-30,2021,3,6 months,16377,846,0.05165781278622458,14314,713,0.04981137348050859,2056,132,0.06420233463035019,7,1,0.14285714285714285
2021-12-31,2021,4,6 months,20581,1517,0.07370876050726398,17868,1240,0.0693978061338706,2671,271,0.10146012729314863,42,6,0.14285714285714285
2022-03-31,2022,1,6 months,14539,1536,0.10564688080335649,11618,1169,0.10061972800826303,2910,367,0.1261168384879725,11,0,0
2022-06-30,2022,2,6 months,18076,1840,0.10179243195397211,14578,1509,0.10351214158320757,3442,326,0.094712376525276,56,5,0.08928571428571429
2022-09-30,2022,3,6 months,26518,5571,0.21008371672071802,22732,4622,0.20332570825268345,3709,924,0.2491237530331626,77,25,0.3246753246753247
