Date,Year,Quarter,Home Office,Sodexo,Migrant Help
2017-01-01,2017,1,NA,NA,NA
2017-04-01,2017,2,1204,18359,7579
2017-07-01,2017,3,1122,10711,5635
2017-10-01,2017,4,917,9036,5116
2018-01-01,2018,1,1196,8789,4600
2018-04-01,2018,2,1747,9456,5048
2018-07-01,2018,3,1101,15319,5361
2018-10-01,2018,4,479,8541,4132
2019-01-01,2019,1,213,8760,3168
2019-04-01,2019,2,194,7275,9739
2019-07-01,2019,3,191,8869,9165
2019-10-01,2019,4,199,10453,7372
2020-01-01,2020,1,NA,13563,5272
2020-04-01,2020,2,NA,8453,4370
2020-07-01,2020,3,NA,7105,5883
2020-10-01,2020,4,NA,8429,7956
2021-01-01,2021,1,NA,12028,9952
