Date,Initial Decisions,Substantive Interviews,Total Principal Stages Completed,Asylum Caseworking Staff,Productivity
2020-01-31,2331,2319,4650,635,7.325984251968504
2020-02-29,2246,2253,4499,616,7.3019480519480515
2020-03-31,1970,1591,3561,607,5.8665568369028005
2020-04-30,380,1,381,608,0.625
2020-05-31,1052,1,1053,604,1.7433774834437086
2020-06-30,1785,1,1786,602,2.9667774086378738
2020-07-31,1468,20,1488,602,2.471760797342193
2020-08-31,944,445,1389,614,2.262214983713355
2020-09-30,955,811,1766,619,2.852988691437803
2020-10-31,1854,1447,3301,604,5.466887417218543
2020-11-30,1663,1849,3512,591,5.94077834179357
2020-12-31,1452,1879,3331,579,5.751295336787565
2021-01-31,1586,1808,3394,566,5.9946996466431095
2021-02-28,1550,1958,3508,545,6.43302752293578
2021-03-31,2149,2266,4415,555,7.947747747747747
2021-04-30,1693,1981,3674,543,6.760589318600369
2021-05-31,1522,1674,3196,533,6
2021-06-30,1715,1696,3411,545,6.256880733944954
2021-07-31,1489,1463,2952,562,5.241992882562276
2021-08-31,1483,962,2445,590,4.133898305084746
2021-09-30,1793,860,2653,623,4.248796147672552
2021-10-31,1791,1073,2864,600,4.82
2021-11-30,1682,1410,3092,604,5.1009933774834435
2021-12-31,1586,961,2547,591,4.301184433164129
2022-01-31,1942,1253,3195,681,4.669603524229075
2022-02-28,2217,1393,3610,728,4.925824175824176
2022-03-31,2550,1743,4293,777,5.498069498069498
2022-04-30,1743,1610,3353,800,4.145
2022-05-31,2343,2080,4423,789,5.571609632446134
2022-06-30,2309,2030,4339,848,5.09433962264151
2022-07-31,2707,1967,4674,865,5.328323699421965
2022-08-31,3141,2485,5626,892,6.196188340807175
2022-09-30,3164,2446,5610,911,6.052689352360044
2022-10-31,2932,2464,5396,1175,4.528510638297872
2022-11-30,3575,2721,6296,1265,4.883794466403162
2022-12-31,3143,2176,5319,1237,4.177041228779305
2023-01-31,4674,2677,7351,1333,5.483120780195049
2023-02-28,5170,2178,7348,1302,5.5798771121351765
2023-03-31,6225,2343,8568,1281,6.698672911787666
2023-04-30,5427,1723,7150,1274,5.591836734693878
2023-05-31,4912,2529,7441,1280,5.78984375
2023-06-30,6439,4452,10891,1556,6.995501285347044
