Date,Year,Quarter,Nationality,Region,Initial decisions from designated states,Refusals from designated states,Clearly unfounded refusals (designated states),Clearly unfounded refusals (non-designated states),Total clearly unfounded refusals
2010-03-31,2010,1,Albania,Europe Other,40,34,18,0,18
2010-03-31,2010,1,Algeria,Africa North,0,0,0,7,7
2010-03-31,2010,1,Australia,Oceania,0,0,0,1,1
2010-03-31,2010,1,Bangladesh,Asia South,0,0,0,12,12
2010-03-31,2010,1,Benin,Africa Sub-Saharan,0,0,0,1,1
2010-03-31,2010,1,Bolivia,America Central and South,4,4,2,0,2
2010-03-31,2010,1,Bosnia and Herzegovina,Europe Other,1,0,0,0,0
2010-03-31,2010,1,Brazil,America Central and South,4,4,3,0,3
2010-03-31,2010,1,Chile,America Central and South,0,0,0,2,2
2010-03-31,2010,1,China,Asia East,0,0,0,7,7
2010-03-31,2010,1,Congo (Democratic Republic),Africa Sub-Saharan,0,0,0,1,1
2010-03-31,2010,1,Dominica,America Central and South,0,0,0,1,1
2010-03-31,2010,1,Ecuador,America Central and South,2,2,1,0,1
2010-03-31,2010,1,Egypt,Africa North,0,0,0,2,2
2010-03-31,2010,1,Eritrea,Africa Sub-Saharan,0,0,0,1,1
2010-03-31,2010,1,"Gambia, The",Africa Sub-Saharan,29,25,7,0,7
2010-03-31,2010,1,Georgia,Europe Other,0,0,0,2,2
2010-03-31,2010,1,Ghana,Africa Sub-Saharan,22,21,11,0,11
2010-03-31,2010,1,Guinea,Africa Sub-Saharan,0,0,0,1,1
2010-03-31,2010,1,India,Asia South,85,84,45,0,45
2010-03-31,2010,1,Iran,Middle East,0,0,0,1,1
2010-03-31,2010,1,Iraq,Middle East,0,0,0,2,2
2010-03-31,2010,1,Israel,Middle East,0,0,0,1,1
2010-03-31,2010,1,Jamaica,America Central and South,48,44,8,0,8
2010-03-31,2010,1,Jordan,Middle East,0,0,0,1,1
2010-03-31,2010,1,Kenya,Africa Sub-Saharan,9,9,5,0,5
2010-03-31,2010,1,Korea (North),Asia East,0,0,0,10,10
2010-03-31,2010,1,Kosovo,Europe Other,1,0,0,0,0
2010-03-31,2010,1,Liberia,Africa Sub-Saharan,0,0,0,1,1
2010-03-31,2010,1,Malawi,Africa Sub-Saharan,9,8,2,6,8
2010-03-31,2010,1,Malaysia,Asia South East,0,0,0,1,1
2010-03-31,2010,1,Mali,Africa Sub-Saharan,1,1,0,0,0
2010-03-31,2010,1,Mauritius,Africa Sub-Saharan,3,3,1,0,1
2010-03-31,2010,1,Mexico,America Central and South,0,0,0,1,1
2010-03-31,2010,1,Moldova,Europe Other,2,2,1,0,1
2010-03-31,2010,1,Mongolia,Asia East,9,8,3,0,3
2010-03-31,2010,1,Morocco,Africa North,0,0,0,1,1
2010-03-31,2010,1,Namibia,Africa Sub-Saharan,0,0,0,1,1
2010-03-31,2010,1,Nigeria,Africa Sub-Saharan,96,92,47,16,63
2010-03-31,2010,1,North Macedonia,Europe Other,1,1,1,0,1
2010-03-31,2010,1,Pakistan,Asia South,0,0,0,15,15
2010-03-31,2010,1,Panama,America Central and South,0,0,0,1,1
2010-03-31,2010,1,Philippines,Asia South East,0,0,0,1,1
2010-03-31,2010,1,Poland,EU 8,0,0,0,1,1
2010-03-31,2010,1,Romania,EU 2,0,0,0,2,2
2010-03-31,2010,1,Russia,Europe Other,0,0,0,4,4
2010-03-31,2010,1,Senegal,Africa Sub-Saharan,0,0,0,4,4
2010-03-31,2010,1,Sierra Leone,Africa Sub-Saharan,10,9,5,0,5
2010-03-31,2010,1,South Africa,Africa Sub-Saharan,46,38,19,0,19
2010-03-31,2010,1,South Korea,Asia East,0,0,0,1,1
2010-03-31,2010,1,Sri Lanka,Asia South,0,0,0,1,1
