Date,Entering detention,Entering detention Asylum,Entering detention Non-asylum,Leaving detention,Leaving detention Asylum,Leaving detention Non-asylum,In detention (at end of period),In detention Asylum,In detention Non-asylum
2010,25904,12878,13026,25959,13064,12895,2525,1612,913
2011,27089,12596,14493,27181,12803,14378,2419,1370,1049
2012,28905,13849,15056,28575,13519,15056,2685,1676,1009
2013,30418,14806,15612,30030,14729,15301,2796,1684,1112
2014,30364,14056,16308,29674,14085,15589,3462,1698,1764
2015,32447,15713,16734,33226,16077,17149,2607,1250,1357
2016,28903,14811,14092,28677,14733,13944,2738,1626,1112
2017,27348,12921,14427,28255,14067,14188,2545,1508,1937
2018,24773,13168,11605,25499,13632,11867,1784,1085,699
2019,24480,14465,10015,24544,14572,9972,1637,994,643
2020,14867,9806,5061,15510,10405,5105,910,438,472
2021,24638,20166,4472,24362,20004,4358,1179,622,557
2022,20873,14794,6079,20919,14838,6081,1159,:,:
