Date,Year,Quarter,Member State,In / Out,Request / Transfer,Article,Count
2015-03-31,2015,1,Austria,In,Request,8.1,1
2015-03-31,2015,1,Austria,In,Request,8.2,1
2015-03-31,2015,1,Austria,In,Request,10,1
2015-03-31,2015,1,Austria,In,Request,18.1,8
2015-03-31,2015,1,Austria,Out,Request,14,1
2015-03-31,2015,1,Austria,Out,Request,18.1,37
2015-03-31,2015,1,Austria,In,Transfer,15,1
2015-03-31,2015,1,Austria,Out,Transfer,14,1
2015-03-31,2015,1,Austria,Out,Transfer,18.1,9
2015-03-31,2015,1,Belgium,In,Request,8.2,2
2015-03-31,2015,1,Belgium,In,Request,11,1
2015-03-31,2015,1,Belgium,In,Request,12,2
2015-03-31,2015,1,Belgium,In,Request,18.1,4
2015-03-31,2015,1,Belgium,Out,Request,11,2
2015-03-31,2015,1,Belgium,Out,Request,12,2
2015-03-31,2015,1,Belgium,Out,Request,14,1
2015-03-31,2015,1,Belgium,Out,Request,18.1,24
2015-03-31,2015,1,Belgium,In,Transfer,18.1,1
2015-03-31,2015,1,Belgium,Out,Transfer,18.1,8
2015-03-31,2015,1,Bulgaria,In,Request,18.1,16
2015-03-31,2015,1,Bulgaria,Out,Request,12,2
2015-03-31,2015,1,Bulgaria,Out,Request,13,7
2015-03-31,2015,1,Bulgaria,Out,Request,18.1,20
2015-03-31,2015,1,Croatia,Out,Request,14,1
2015-03-31,2015,1,Croatia,Out,Request,18.1,1
2015-03-31,2015,1,Cyprus,Out,Request,18.1,7
2015-03-31,2015,1,Cyprus,In,Transfer,8.2,2
2015-03-31,2015,1,Czech Republic,Out,Request,13,1
2015-03-31,2015,1,Denmark,In,Request,12,2
2015-03-31,2015,1,Denmark,In,Request,18.1,4
2015-03-31,2015,1,Denmark,Out,Request,18.1,5
2015-03-31,2015,1,Denmark,In,Transfer,18.1,2
2015-03-31,2015,1,Finland,In,Request,11,1
2015-03-31,2015,1,Finland,In,Request,18.1,7
2015-03-31,2015,1,Finland,Out,Request,13,1
2015-03-31,2015,1,Finland,Out,Request,18.1,1
2015-03-31,2015,1,Finland,In,Transfer,18.1,2
2015-03-31,2015,1,Finland,Out,Transfer,12,1
2015-03-31,2015,1,France,In,Request,18.1,40
2015-03-31,2015,1,France,In,Request,20.5,10
2015-03-31,2015,1,France,Out,Request,12,8
2015-03-31,2015,1,France,Out,Request,13,9
2015-03-31,2015,1,France,Out,Request,14,1
2015-03-31,2015,1,France,Out,Request,18.1,32
2015-03-31,2015,1,France,In,Transfer,12,3
2015-03-31,2015,1,France,In,Transfer,18.1,1
2015-03-31,2015,1,France,In,Transfer,20.5,1
2015-03-31,2015,1,France,Out,Transfer,13,3
2015-03-31,2015,1,France,Out,Transfer,18.1,2
2015-03-31,2015,1,Germany,In,Request,9,1
2015-03-31,2015,1,Germany,In,Request,12,2
2015-03-31,2015,1,Germany,In,Request,14,1
2015-03-31,2015,1,Germany,In,Request,18.1,27
2015-03-31,2015,1,Germany,Out,Request,11,1
2015-03-31,2015,1,Germany,Out,Request,13,1
2015-03-31,2015,1,Germany,Out,Request,18.1,40
2015-03-31,2015,1,Germany,In,Transfer,14,1
2015-03-31,2015,1,Germany,In,Transfer,18.1,3
2015-03-31,2015,1,Germany,Out,Transfer,14,1
2015-03-31,2015,1,Germany,Out,Transfer,18.1,10
2015-03-31,2015,1,Greece,In,Request,8.1,2
2015-03-31,2015,1,Greece,In,Request,8.2,1
2015-03-31,2015,1,Greece,In,Request,16,1
2015-03-31,2015,1,Greece,In,Request,17.2,1
2015-03-31,2015,1,Greece,In,Transfer,8.2,2
2015-03-31,2015,1,Greece,In,Transfer,16,1
2015-03-31,2015,1,Greece,In,Transfer,17.2,2
2015-03-31,2015,1,Hungary,Out,Request,12,1
2015-03-31,2015,1,Hungary,Out,Request,13,16
2015-03-31,2015,1,Hungary,Out,Request,18.1,41
2015-03-31,2015,1,Hungary,Out,Transfer,13,2
2015-03-31,2015,1,Hungary,Out,Transfer,18.1,3
2015-03-31,2015,1,Iceland,Out,Request,18.1,1
