Date,Year,Quarter,Nationality,Region,Sex,Age,Visas granted
2010-01-01,2010,1,Afghanistan,Asia Central,Female,18-29,9
2010-01-01,2010,1,Afghanistan,Asia Central,Female,30-49,5
2010-01-01,2010,1,Afghanistan,Asia Central,Female,50-69,1
2010-01-01,2010,1,Afghanistan,Asia Central,Female,Under 18,24
2010-01-01,2010,1,Afghanistan,Asia Central,Male,30-49,1
2010-01-01,2010,1,Afghanistan,Asia Central,Male,Under 18,17
2010-01-01,2010,1,Albania,Europe Other,Female,50-69,1
2010-01-01,2010,1,Albania,Europe Other,Male,70+,1
2010-01-01,2010,1,Burma,Asia South East,Female,30-49,2
2010-01-01,2010,1,Burma,Asia South East,Female,Under 18,5
2010-01-01,2010,1,Burma,Asia South East,Male,50-69,1
2010-01-01,2010,1,Burma,Asia South East,Male,Under 18,1
2010-01-01,2010,1,Cameroon,Africa Sub-Saharan,Female,18-29,1
2010-01-01,2010,1,Cameroon,Africa Sub-Saharan,Female,30-49,2
2010-01-01,2010,1,Cameroon,Africa Sub-Saharan,Female,Under 18,13
2010-01-01,2010,1,Cameroon,Africa Sub-Saharan,Male,Under 18,4
2010-01-01,2010,1,Chad,Africa Sub-Saharan,Female,18-29,1
2010-01-01,2010,1,Chad,Africa Sub-Saharan,Female,Under 18,1
2010-01-01,2010,1,China,Asia East,Female,30-49,1
2010-01-01,2010,1,China,Asia East,Female,Under 18,3
2010-01-01,2010,1,China,Asia East,Male,Under 18,4
2010-01-01,2010,1,Colombia,America Central and South,Female,Under 18,1
2010-01-01,2010,1,Congo,Africa Sub-Saharan,Female,18-29,1
2010-01-01,2010,1,Congo (Democratic Republic),Africa Sub-Saharan,Female,18-29,4
2010-01-01,2010,1,Congo (Democratic Republic),Africa Sub-Saharan,Female,30-49,4
2010-01-01,2010,1,Congo (Democratic Republic),Africa Sub-Saharan,Female,50-69,1
2010-01-01,2010,1,Congo (Democratic Republic),Africa Sub-Saharan,Female,Under 18,17
2010-01-01,2010,1,Congo (Democratic Republic),Africa Sub-Saharan,Male,30-49,3
2010-01-01,2010,1,Congo (Democratic Republic),Africa Sub-Saharan,Male,50-69,2
2010-01-01,2010,1,Congo (Democratic Republic),Africa Sub-Saharan,Male,Under 18,15
2010-01-01,2010,1,Eritrea,Africa Sub-Saharan,Female,18-29,45
2010-01-01,2010,1,Eritrea,Africa Sub-Saharan,Female,30-49,7
2010-01-01,2010,1,Eritrea,Africa Sub-Saharan,Female,Under 18,30
2010-01-01,2010,1,Eritrea,Africa Sub-Saharan,Male,18-29,8
2010-01-01,2010,1,Eritrea,Africa Sub-Saharan,Male,30-49,8
2010-01-01,2010,1,Eritrea,Africa Sub-Saharan,Male,50-69,1
2010-01-01,2010,1,Eritrea,Africa Sub-Saharan,Male,Under 18,34
2010-01-01,2010,1,Ethiopia,Africa Sub-Saharan,Female,18-29,7
2010-01-01,2010,1,Ethiopia,Africa Sub-Saharan,Female,30-49,5
2010-01-01,2010,1,Ethiopia,Africa Sub-Saharan,Female,Under 18,8
2010-01-01,2010,1,Ethiopia,Africa Sub-Saharan,Male,30-49,1
2010-01-01,2010,1,Ethiopia,Africa Sub-Saharan,Male,Under 18,10
2010-01-01,2010,1,"Gambia, The",Africa Sub-Saharan,Female,18-29,1
2010-01-01,2010,1,Georgia,Europe Other,Female,50-69,1
