Year,Nationality,Region,Grant,Refused,Initial grant rate
2001,Afghanistan,Asia Central,9819,2544,0.7942247027420529
2001,Albania,Europe Other,182,1565,0.10417859187178019
2001,Algeria,Africa North,140,2589,0.05130084279956028
2001,American Samoa (United States),Oceania,1,0,1
2001,Andorra,Europe Other,1,0,1
2001,Angola,Africa Sub-Saharan,615,674,0.47711404189294027
2001,Argentina,America Central and South,3,1,0.75
2001,Armenia,Europe Other,15,127,0.1056338028169014
2001,Australia,Oceania,1,2,0.3333333333333333
2001,Azerbaijan,Europe Other,22,110,0.16666666666666666
2001,Bahrain,Middle East,2,2,0.5
2001,Bangladesh,Asia South,53,921,0.054414784394250515
2001,Barbados,America Central and South,0,1,0
2001,Belarus,Europe Other,11,505,0.02131782945736434
2001,Belgium,EU 14,0,1,0
2001,Benin,Africa Sub-Saharan,2,12,0.14285714285714285
2001,Bermuda (British),America North,1,1,0.5
2001,Bhutan,Asia South,24,69,0.25806451612903225
2001,Bolivia,America Central and South,5,49,0.09259259259259259
2001,Bosnia and Herzegovina,Europe Other,31,160,0.16230366492146597
2001,Botswana,Africa Sub-Saharan,0,7,0
2001,Brazil,America Central and South,6,65,0.08450704225352113
2001,British overseas citizens,Other,8,15,0.34782608695652173
2001,Brunei,Asia South East,1,1,0.5
2001,Bulgaria,EU 2,15,128,0.1048951048951049
2001,Burkina Faso,Africa Sub-Saharan,1,21,0.045454545454545456
2001,Burundi,Africa Sub-Saharan,474,634,0.427797833935018
2001,Cambodia,Asia South East,0,3,0
2001,Cameroon,Africa Sub-Saharan,76,498,0.13240418118466898
2001,Canada,America North,0,2,0
2001,Central African Republic,Africa Sub-Saharan,2,5,0.2857142857142857
2001,Chad,Africa Sub-Saharan,27,84,0.24324324324324326
2001,Chile,America Central and South,2,12,0.14285714285714285
2001,China,Asia East,180,4160,0.041474654377880185
2001,Colombia,America Central and South,97,674,0.125810635538262
2001,Comoros,Africa Sub-Saharan,0,1,0
2001,Congo,Africa Sub-Saharan,184,714,0.20489977728285078
2001,Congo (Democratic Republic),Africa Sub-Saharan,664,1813,0.26806620912394025
2001,Croatia,EU Other,41,370,0.09975669099756691
2001,Cuba,America Central and South,2,28,0.06666666666666667
