Date,Year,Quarter,Nationality,Region,Grant,Refused,Initial grant rate
2001-01-01,2001,2001 Q1,Afghanistan,Asia Central,3461,1013,0.7735806884219938
2001-01-01,2001,2001 Q1,Albania,Europe Other,45,595,0.0703125
2001-01-01,2001,2001 Q1,Algeria,Africa North,62,1219,0.04839968774395004
2001-01-01,2001,2001 Q1,American Samoa,Oceania,1,NA,NA
2001-01-01,2001,2001 Q1,Angola,Africa Sub-Saharan,133,245,0.35185185185185186
2001-01-01,2001,2001 Q1,Argentina,America Central and South,NA,1,NA
2001-01-01,2001,2001 Q1,Armenia,Europe Other,8,50,0.13793103448275862
2001-01-01,2001,2001 Q1,Australia,Oceania,NA,1,NA
2001-01-01,2001,2001 Q1,Azerbaijan,Europe Other,11,39,0.22
2001-01-01,2001,2001 Q1,Bahrain,Middle East,1,NA,NA
2001-01-01,2001,2001 Q1,Bangladesh,Asia South,13,427,0.029545454545454545
2001-01-01,2001,2001 Q1,Belarus,Europe Other,4,272,0.014492753623188406
2001-01-01,2001,2001 Q1,Benin,Africa Sub-Saharan,1,4,0.2
2001-01-01,2001,2001 Q1,Bermuda (British),Other,NA,1,NA
2001-01-01,2001,2001 Q1,Bhutan,Asia South,13,25,0.34210526315789475
2001-01-01,2001,2001 Q1,Bolivia,America Central and South,NA,19,NA
2001-01-01,2001,2001 Q1,Bosnia and Herzegovina,Europe Other,10,62,0.1388888888888889
2001-01-01,2001,2001 Q1,Botswana,Africa Sub-Saharan,NA,3,NA
2001-01-01,2001,2001 Q1,Brazil,America Central and South,4,33,0.10810810810810811
2001-01-01,2001,2001 Q1,British overseas citizens,Other,4,2,0.6666666666666666
2001-01-01,2001,2001 Q1,Brunei,Asia South East,1,NA,NA
2001-01-01,2001,2001 Q1,Bulgaria,EU 2,5,48,0.09433962264150944
2001-01-01,2001,2001 Q1,Burkina,Africa Sub-Saharan,NA,7,NA
2001-01-01,2001,2001 Q1,Burma,Asia South East,13,19,0.40625
2001-01-01,2001,2001 Q1,Burundi,Africa Sub-Saharan,210,287,0.4225352112676056
2001-01-01,2001,2001 Q1,Cambodia,Asia South East,NA,1,NA
2001-01-01,2001,2001 Q1,Cameroon,Africa Sub-Saharan,20,209,0.08733624454148471
2001-01-01,2001,2001 Q1,Central African Republic,Africa Sub-Saharan,2,2,0.5
