Date,Year,Quarter,Method of entry,Nationality,Region,Sex,Age Group,Number of detections
2018-03-31,2018,1,Inadequately documented air arrivals,Afghanistan,Asia Central,Female,17 and under,14
2018-03-31,2018,1,Inadequately documented air arrivals,Afghanistan,Asia Central,Female,18 to 24,4
2018-03-31,2018,1,Inadequately documented air arrivals,Afghanistan,Asia Central,Female,25 to 39,14
2018-03-31,2018,1,Inadequately documented air arrivals,Afghanistan,Asia Central,Female,40 and over,22
2018-03-31,2018,1,Inadequately documented air arrivals,Afghanistan,Asia Central,Male,17 and under,21
2018-03-31,2018,1,Inadequately documented air arrivals,Afghanistan,Asia Central,Male,18 to 24,8
2018-03-31,2018,1,Inadequately documented air arrivals,Afghanistan,Asia Central,Male,25 to 39,20
2018-03-31,2018,1,Inadequately documented air arrivals,Afghanistan,Asia Central,Male,40 and over,18
2018-03-31,2018,1,Inadequately documented air arrivals,Albania,Europe Other,Female,17 and under,3
2018-03-31,2018,1,Inadequately documented air arrivals,Albania,Europe Other,Female,18 to 24,12
2018-03-31,2018,1,Inadequately documented air arrivals,Albania,Europe Other,Female,25 to 39,5
2018-03-31,2018,1,Inadequately documented air arrivals,Albania,Europe Other,Male,17 and under,5
2018-03-31,2018,1,Inadequately documented air arrivals,Albania,Europe Other,Male,18 to 24,25
2018-03-31,2018,1,Inadequately documented air arrivals,Albania,Europe Other,Male,25 to 39,37
2018-03-31,2018,1,Inadequately documented air arrivals,Albania,Europe Other,Male,40 and over,7
2018-03-31,2018,1,Inadequately documented air arrivals,Albania,Europe Other,Unknown,Unknown,1
2018-03-31,2018,1,Inadequately documented air arrivals,Algeria,Africa North,Male,25 to 39,4
2018-03-31,2018,1,Inadequately documented air arrivals,Angola,Africa Sub-Saharan,Female,17 and under,1
2018-03-31,2018,1,Inadequately documented air arrivals,Brazil,America Central and South,Male,25 to 39,1
2018-03-31,2018,1,Inadequately documented air arrivals,British overseas citizens,Other,Male,25 to 39,1
2018-03-31,2018,1,Inadequately documented air arrivals,Burundi,Africa Sub-Saharan,Male,18 to 24,1
