Date,Year,Quarter,UK Region,LAD Code,Local Authority,Resettlement Scheme,Persons
2014-03-31,2014,1,Yorkshire and The Humber,E08000032,Bradford,Vulnerable Persons Resettlement Scheme,13
2014-06-30,2014,2,Yorkshire and The Humber,E08000032,Bradford,Vulnerable Persons Resettlement Scheme,37
2014-09-30,2014,3,West Midlands,E08000026,Coventry,Vulnerable Persons Resettlement Scheme,35
2014-09-30,2014,3,Yorkshire and The Humber,E08000032,Bradford,Vulnerable Persons Resettlement Scheme,5
2014-12-31,2014,4,Scotland,S12000046,Glasgow City,Vulnerable Persons Resettlement Scheme,37
2014-12-31,2014,4,West Midlands,E08000026,Coventry,Vulnerable Persons Resettlement Scheme,16
2015-03-31,2015,1,Scotland,S12000046,Glasgow City,Vulnerable Persons Resettlement Scheme,14
2015-03-31,2015,1,West Midlands,E08000026,Coventry,Vulnerable Persons Resettlement Scheme,6
2015-03-31,2015,1,Yorkshire and The Humber,E08000032,Bradford,Vulnerable Persons Resettlement Scheme,24
2015-06-30,2015,2,Scotland,S12000046,Glasgow City,Vulnerable Persons Resettlement Scheme,4
2015-06-30,2015,2,West Midlands,E08000026,Coventry,Vulnerable Persons Resettlement Scheme,5
2015-06-30,2015,2,Yorkshire and The Humber,E08000032,Bradford,Vulnerable Persons Resettlement Scheme,20
2015-09-30,2015,3,West Midlands,E08000026,Coventry,Vulnerable Persons Resettlement Scheme,29
2015-09-30,2015,3,Yorkshire and The Humber,E08000032,Bradford,Vulnerable Persons Resettlement Scheme,7
2015-12-31,2015,4,East Midlands,E07000172,Broxtowe,Vulnerable Persons Resettlement Scheme,5
2015-12-31,2015,4,East Midlands,E07000173,Gedling,Vulnerable Persons Resettlement Scheme,16
2015-12-31,2015,4,East Midlands,E06000016,Leicester,Vulnerable Persons Resettlement Scheme,15
2015-12-31,2015,4,East Midlands,E07000174,Mansfield,Vulnerable Persons Resettlement Scheme,16
2015-12-31,2015,4,East Midlands,E06000018,Nottingham,Vulnerable Persons Resettlement Scheme,44
2015-12-31,2015,4,East of England,E06000055,Bedford,Vulnerable Persons Resettlement Scheme,5
2015-12-31,2015,4,East of England,E07000008,Cambridge,Vulnerable Persons Resettlement Scheme,14
2015-12-31,2015,4,East of England,E07000071,Colchester,Vulnerable Persons Resettlement Scheme,17
2015-12-31,2015,4,London,E09000007,Camden,Vulnerable Persons Resettlement Scheme,14
2015-12-31,2015,4,London,E09000019,Islington,Vulnerable Persons Resettlement Scheme,10
2015-12-31,2015,4,North East,E08000037,Gateshead,Vulnerable Persons Resettlement Scheme,50
2015-12-31,2015,4,North East,E08000021,Newcastle upon Tyne,Vulnerable Persons Resettlement Scheme,40
2015-12-31,2015,4,Northern Ireland,N09000003,Belfast,Vulnerable Persons Resettlement Scheme,51
2015-12-31,2015,4,Scotland,S12000041,Angus,Vulnerable Persons Resettlement Scheme,15
2015-12-31,2015,4,Scotland,S12000035,Argyll and Bute,Vulnerable Persons Resettlement Scheme,35
2015-12-31,2015,4,Scotland,S12000036,City of Edinburgh,Vulnerable Persons Resettlement Scheme,50
2015-12-31,2015,4,Scotland,S12000005,Clackmannanshire,Vulnerable Persons Resettlement Scheme,12
2015-12-31,2015,4,Scotland,S12000042,Dundee City,Vulnerable Persons Resettlement Scheme,17
2015-12-31,2015,4,Scotland,S12000008,East Ayrshire,Vulnerable Persons Resettlement Scheme,8
2015-12-31,2015,4,Scotland,S12000011,East Renfrewshire,Vulnerable Persons Resettlement Scheme,18
2015-12-31,2015,4,Scotland,S12000015,Fife,Vulnerable Persons Resettlement Scheme,13
2015-12-31,2015,4,Scotland,S12000046,Glasgow City,Vulnerable Persons Resettlement Scheme,41
2015-12-31,2015,4,Scotland,S12000018,Inverclyde,Vulnerable Persons Resettlement Scheme,14
2015-12-31,2015,4,Scotland,S12000021,North Ayrshire,Vulnerable Persons Resettlement Scheme,12
2015-12-31,2015,4,Scotland,S12000044,North Lanarkshire,Vulnerable Persons Resettlement Scheme,35
2015-12-31,2015,4,Scotland,S12000024,Perth and Kinross,Vulnerable Persons Resettlement Scheme,25
2015-12-31,2015,4,Scotland,S12000038,Renfrewshire,Vulnerable Persons Resettlement Scheme,43
2015-12-31,2015,4,Scotland,S12000029,South Lanarkshire,Vulnerable Persons Resettlement Scheme,9
2015-12-31,2015,4,Scotland,S12000039,West Dunbartonshire,Vulnerable Persons Resettlement Scheme,49
2015-12-31,2015,4,South East,E07000105,Ashford,Vulnerable Persons Resettlement Scheme,14
2015-12-31,2015,4,South East,E07000084,Basingstoke and Deane,Vulnerable Persons Resettlement Scheme,2
2015-12-31,2015,4,South East,E06000043,Brighton and Hove,Vulnerable Persons Resettlement Scheme,9
2015-12-31,2015,4,South East,E07000178,Oxford,Vulnerable Persons Resettlement Scheme,9
2015-12-31,2015,4,South East,E06000045,Southampton,Vulnerable Persons Resettlement Scheme,6
2015-12-31,2015,4,South East,E07000116,Tunbridge Wells,Vulnerable Persons Resettlement Scheme,9
2015-12-31,2015,4,South East,E07000181,West Oxfordshire,Vulnerable Persons Resettlement Scheme,10
2015-12-31,2015,4,South East,E07000094,Winchester,Vulnerable Persons Resettlement Scheme,4
2015-12-31,2015,4,South East,E07000217,Woking,Vulnerable Persons Resettlement Scheme,9
2015-12-31,2015,4,South West,E06000022,Bath and North East Somerset,Vulnerable Persons Resettlement Scheme,7
2015-12-31,2015,4,South West,E07000078,Cheltenham,Vulnerable Persons Resettlement Scheme,6
2015-12-31,2015,4,South West,E07000081,Gloucester,Vulnerable Persons Resettlement Scheme,4
2015-12-31,2015,4,South West,E06000026,Plymouth,Vulnerable Persons Resettlement Scheme,10
2015-12-31,2015,4,South West,E06000054,Wiltshire,Vulnerable Persons Resettlement Scheme,27
2015-12-31,2015,4,Wales,W06000018,Caerphilly,Vulnerable Persons Resettlement Scheme,3
2015-12-31,2015,4,Wales,W06000008,Ceredigion,Vulnerable Persons Resettlement Scheme,10
2015-12-31,2015,4,Wales,W06000012,Neath Port Talbot,Vulnerable Persons Resettlement Scheme,22
2015-12-31,2015,4,Wales,W06000020,Torfaen,Vulnerable Persons Resettlement Scheme,10
2015-12-31,2015,4,West Midlands,E08000025,Birmingham,Vulnerable Persons Resettlement Scheme,9
2015-12-31,2015,4,West Midlands,E08000026,Coventry,Vulnerable Persons Resettlement Scheme,60
2015-12-31,2015,4,Yorkshire and The Humber,E08000032,Bradford,Vulnerable Persons Resettlement Scheme,50
2015-12-31,2015,4,Yorkshire and The Humber,E08000033,Calderdale,Vulnerable Persons Resettlement Scheme,9
2015-12-31,2015,4,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",Vulnerable Persons Resettlement Scheme,5
2015-12-31,2015,4,Yorkshire and The Humber,E08000034,Kirklees,Vulnerable Persons Resettlement Scheme,11
2015-12-31,2015,4,Yorkshire and The Humber,E08000035,Leeds,Vulnerable Persons Resettlement Scheme,50
2015-12-31,2015,4,Yorkshire and The Humber,E08000019,Sheffield,Vulnerable Persons Resettlement Scheme,27
2016-03-31,2016,1,East of England,E07000071,Colchester,Vulnerable Persons Resettlement Scheme,5
2016-03-31,2016,1,East of England,E07000202,Ipswich,Vulnerable Persons Resettlement Scheme,8
2016-03-31,2016,1,East of England,E07000243,Stevenage,Vulnerable Persons Resettlement Scheme,5
2016-03-31,2016,1,London,E09000003,Barnet,Vulnerable Persons Resettlement Scheme,6
2016-03-31,2016,1,London,E09000021,Kingston upon Thames,Vulnerable Persons Resettlement Scheme,3
2016-03-31,2016,1,North East,E08000037,Gateshead,Vulnerable Persons Resettlement Scheme,12
2016-03-31,2016,1,North East,E08000021,Newcastle upon Tyne,Vulnerable Persons Resettlement Scheme,14
2016-03-31,2016,1,Scotland,S12000033,Aberdeen City,Vulnerable Persons Resettlement Scheme,30
2016-03-31,2016,1,Scotland,S12000034,Aberdeenshire,Vulnerable Persons Resettlement Scheme,32
2016-03-31,2016,1,Scotland,S12000041,Angus,Vulnerable Persons Resettlement Scheme,6
2016-03-31,2016,1,Scotland,S12000035,Argyll and Bute,Vulnerable Persons Resettlement Scheme,23
2016-03-31,2016,1,Scotland,S12000036,City of Edinburgh,Vulnerable Persons Resettlement Scheme,3
2016-03-31,2016,1,Scotland,S12000008,East Ayrshire,Vulnerable Persons Resettlement Scheme,4
2016-03-31,2016,1,Scotland,S12000010,East Lothian,Vulnerable Persons Resettlement Scheme,9
2016-03-31,2016,1,Scotland,S12000015,Fife,Vulnerable Persons Resettlement Scheme,5
2016-03-31,2016,1,Scotland,S12000046,Glasgow City,Vulnerable Persons Resettlement Scheme,10
2016-03-31,2016,1,Scotland,S12000019,Midlothian,Vulnerable Persons Resettlement Scheme,10
2016-03-31,2016,1,Scotland,S12000020,Moray,Vulnerable Persons Resettlement Scheme,15
2016-03-31,2016,1,Scotland,S12000021,North Ayrshire,Vulnerable Persons Resettlement Scheme,11
2016-03-31,2016,1,Scotland,S12000044,North Lanarkshire,Vulnerable Persons Resettlement Scheme,8
2016-03-31,2016,1,Scotland,S12000038,Renfrewshire,Vulnerable Persons Resettlement Scheme,25
2016-03-31,2016,1,Scotland,S12000026,Scottish Borders,Vulnerable Persons Resettlement Scheme,11
2016-03-31,2016,1,Scotland,S12000030,Stirling,Vulnerable Persons Resettlement Scheme,8
2016-03-31,2016,1,Scotland,S12000040,West Lothian,Vulnerable Persons Resettlement Scheme,7
2016-03-31,2016,1,South East,E07000105,Ashford,Vulnerable Persons Resettlement Scheme,8
2016-03-31,2016,1,South East,E06000043,Brighton and Hove,Vulnerable Persons Resettlement Scheme,4
2016-03-31,2016,1,South East,E07000226,Crawley,Vulnerable Persons Resettlement Scheme,4
2016-03-31,2016,1,South East,E07000228,Mid Sussex,Vulnerable Persons Resettlement Scheme,3
2016-03-31,2016,1,South East,E06000044,Portsmouth,Vulnerable Persons Resettlement Scheme,5
2016-03-31,2016,1,South East,E06000037,West Berkshire,Vulnerable Persons Resettlement Scheme,6
2016-03-31,2016,1,South East,E07000217,Woking,Vulnerable Persons Resettlement Scheme,11
2016-03-31,2016,1,South West,E06000022,Bath and North East Somerset,Vulnerable Persons Resettlement Scheme,18
