Year,Quarter,Adult (18 or over) - Negative conclusive grounds,Adult (18 or over) - Positive conclusive grounds,Adult (18 or over) - Total,Child (17 or under) - Negative conclusive grounds,Child (17 or under) - Positive conclusive grounds,Child (17 or under) - Total,Age not specified or unknown - Negative conclusive grounds,Age not specified or unknown - Positive conclusive grounds,Age not specified or unknown - Total,Total
2014,Total,439,707,1146,175,271,446,0,0,0,1592
2014,Q1,79,174,253,32,70,102,0,0,0,355
2014,Q2,107,180,287,38,76,114,0,0,0,401
2014,Q3,170,214,384,66,85,151,0,0,0,535
2014,Q4,83,139,222,39,40,79,0,0,0,301
2015,Total,510,737,1247,184,267,451,0,0,0,1698
2015,Q1,106,136,242,42,56,98,0,0,0,340
2015,Q2,142,167,309,43,59,102,0,0,0,411
2015,Q3,140,174,314,41,71,112,0,0,0,426
2015,Q4,122,260,382,58,81,139,0,0,0,521
2016,Total,539,711,1250,245,381,626,0,0,0,1876
2016,Q1,119,178,297,53,67,120,0,0,0,417
2016,Q2,141,197,338,61,91,152,0,0,0,490
2016,Q3,143,180,323,66,116,182,0,0,0,505
2016,Q4,136,156,292,65,107,172,0,0,0,464
2017,Total,484,718,1202,159,503,662,0,0,0,1864
2017,Q1,142,217,359,49,108,157,0,0,0,516
2017,Q2,130,159,289,46,82,128,0,0,0,417
2017,Q3,108,174,282,23,117,140,0,0,0,422
2017,Q4,104,168,272,41,196,237,0,0,0,509
2018,Total,577,1208,1785,392,1050,1442,0,0,0,3227
2018,Q1,105,207,312,53,160,213,0,0,0,525
2018,Q2,139,230,369,77,117,194,0,0,0,563
2018,Q3,135,290,425,130,342,472,0,0,0,897
2018,Q4,198,481,679,132,431,563,0,0,0,1242
2019,Total,448,1486,1934,205,1475,1680,0,1,1,3615
2019,Q1,182,489,671,105,609,714,0,0,0,1385
2019,Q2,107,321,428,47,292,339,0,0,0,767
2019,Q3,81,267,348,28,217,245,0,0,0,593
2019,Q4,78,409,487,25,357,382,0,1,1,870
2020,Total,254,1446,1700,74,1567,1641,6,62,68,3409
2020,Q1,75,327,402,16,266,282,2,15,17,701
2020,Q2,51,306,357,28,433,461,0,12,12,830
2020,Q3,62,366,428,12,454,466,1,16,17,911
2020,Q4,66,447,513,18,414,432,3,19,22,967
2021,Total,185,1220,1405,49,1293,1342,10,83,93,2840
2021,Q1,49,164,213,2,161,163,1,14,15,391
2021,Q2,42,208,250,6,209,215,3,18,21,486
2021,Q3,51,369,420,19,338,357,3,23,26,803
2021,Q4,43,479,522,22,585,607,3,28,31,1160
2022,Total,411,2903,3314,199,2404,2603,41,199,240,6157
2022,Q1,47,520,567,37,562,599,5,28,33,1199
2022,Q2,64,708,772,38,496,534,5,55,60,1366
2022,Q3,87,729,816,38,591,629,10,53,63,1508
2022,Q4,213,946,1159,86,755,841,21,63,84,2084
2023,Total,1260,2301,3561,493,2326,2819,121,208,329,6709
2023,Q1,383,806,1189,124,839,963,34,64,98,2250
2023,Q2,304,695,999,156,811,967,32,71,103,2069
2023,Q3,573,800,1373,213,676,889,55,73,128,2390
