Nationality,Total
Afghan,16
Albanian,166
Albanian Greek,1
Albanian Italian,1
Albanian Unknown,1
Algerian French,1
Argentine Danish,1
Armenian,1
Australian Sudanese,1
Bahraini,1
Bangladeshi,9
Botswanan,2
Brazilian,18
Brazilian Portuguese,6
Bulgarian,13
Burmese,1
Chadian,1
Chinese,44
Chinese UK,1
Colombian,2
Congolese (Drc),1
Cuban,1
Czech,3
Dutch,1
Dutch Ethiopian,1
Egyptian,20
Eritrean,177
Estonian,1
Ethiopian,19
Filipino,9
Gambian,1
Ghanaian,3
Guinean,3
Honduran,2
Hungarian,1
Indian,19
Indonesian,1
Iranian,22
Iranian Iraqi,1
Iraqi,13
Iraqi Syrian,1
Iraqi UK,1
Irish Romanian,2
Italian Pakistani,1
Italian Romanian,1
Ivorian,1
Jamaican,1
Kenyan,1
Kuwaiti,1
Latvian,1
Libyan,7
Libyan Yemeni,1
Lithuanian,3
Malaysian,2
Malaysian Unknown,1
Moroccan,3
Namibian,5
Nepalese,12
Nigerian,4
Nigerian Zimbabwean,1
Norwegian,1
Pakistani,11
Pakistani UK,3
Palestinian,2
Paraguayan,1
Polish,9
Polish Russian,1
Romanian,82
Russian,2
Saudi Arabian,2
Slovak,2
Somali,16
Somali UK,1
South African,2
South African Zimbabwean,1
South Sudanese,5
Spanish,2
Sri Lankan,7
St Helenian,1
Sudanese,121
Syrian,27
Taiwanese,1
Thai,15
Trinidadian,2
Turkish,5
Turkish UK,1
Ugandan,1
UK,96
Ukrainian,8
Unknown,27
Vietnamese,54
Yemeni,2
Zimbabwean,1
Total,1148
