First responder type,First responder,Exploitation type,Age at exploitation,Gender,Nationality,People
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Afghan,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Albanian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Albanian Greek,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Albanian Kosovan,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Albanian Lithuanian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Albanian Unknown,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Algerian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Algerian Eritrean,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,American,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Bangladeshi,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Barbadian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Belarusian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Botswanan,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Brazilian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Bulgarian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Burmese Bangladeshi,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Cameroonian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Chadian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Chilean,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Chinese,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Citizen of Antigua and Barbuda,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Citizen of Guinea-Bissau Vietnamese,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Congolese (DRC),0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Czech,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Danish,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Dutch Eritrean,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,East Timorese,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Egyptian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Eritrean,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Eritrean Ethiopian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Eritrean Sudanese,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Eritrean Swedish,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Ethiopian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Filipino,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Gambian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Ghanaian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Greek,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Grenadian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Guinean,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Honduran,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Hungarian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Indian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Indian Sri Lankan,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Iranian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Iraqi,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Ivorian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Jamaican,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Kenyan,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Kosovan,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Kuwaiti,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Kuwaiti Unknown,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Kyrgyz,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Lebanese,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Liberian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Libyan,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Lithuanian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Malawian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Malaysian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Malian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Mauritian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Moldovan,1
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Mongolian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Moroccan,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Namibian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Nepalese,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Nigerian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Nigerian Spanish,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Nigerien,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Pakistani,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Palestinian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Polish,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Portuguese,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Romanian,1
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Russian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Salvadorean,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Saudi Arabian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Senegalese,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Sierra Leonean,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Slovak,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Somali,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,South Sudanese,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,South Sudanese Sudanese,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Sri Lankan,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Sudanese,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Sudanese South Sudanese,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Sudanese Unknown,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Syrian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Taiwanese,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Thai,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Trinidadian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Tunisian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Turkish,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Ugandan,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,UK,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Ukrainian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Unknown,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Vietnamese,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Vincentian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Yemeni,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Zimbabwean,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Total,Total,Total,Total,2
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Afghan,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Albanian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Albanian Greek,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Albanian Kosovan,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Albanian Lithuanian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Albanian Unknown,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Algerian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Algerian Eritrean,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,American,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Bangladeshi,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Barbadian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Belarusian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Botswanan,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Brazilian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Bulgarian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Burmese Bangladeshi,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Cameroonian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Chadian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Chilean,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Chinese,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Citizen of Antigua and Barbuda,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Citizen of Guinea-Bissau Vietnamese,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Congolese (DRC),0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Czech,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Danish,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Dutch Eritrean,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,East Timorese,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Egyptian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Eritrean,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Eritrean Ethiopian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Eritrean Sudanese,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Eritrean Swedish,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Ethiopian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Filipino,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Gambian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Ghanaian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Greek,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Grenadian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Guinean,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Honduran,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Hungarian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Indian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Indian Sri Lankan,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Iranian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Iraqi,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Ivorian,0
Government agency,Gangmasters and Labour Abuse Authority GLAA,Labour,Total,Total,Jamaican,0
