First responder type,First responder,Exploitation type,Age at exploitation,Gender,Nationality,People
Local Authority,Local Authority,Criminal,Total,Total,Afghan,1
Local Authority,Local Authority,Criminal,Total,Total,Afghan UK,1
Local Authority,Local Authority,Criminal,Total,Total,Albanian,5
Local Authority,Local Authority,Criminal,Total,Total,Albanian UK,1
Local Authority,Local Authority,Criminal,Total,Total,Albanian Unknown,0
Local Authority,Local Authority,Criminal,Total,Total,Algerian,0
Local Authority,Local Authority,Criminal,Total,Total,Algerian UK,1
Local Authority,Local Authority,Criminal,Total,Total,American UK,1
Local Authority,Local Authority,Criminal,Total,Total,Angolan UK,1
Local Authority,Local Authority,Criminal,Total,Total,Argentine Brazilian,0
Local Authority,Local Authority,Criminal,Total,Total,Bangladeshi,0
Local Authority,Local Authority,Criminal,Total,Total,Bangladeshi Irish,1
Local Authority,Local Authority,Criminal,Total,Total,Bangladeshi UK,3
Local Authority,Local Authority,Criminal,Total,Total,Belgian Sierra Leonean,0
Local Authority,Local Authority,Criminal,Total,Total,Botswanan,0
Local Authority,Local Authority,Criminal,Total,Total,Brazilian,0
Local Authority,Local Authority,Criminal,Total,Total,Brazilian Portuguese,0
Local Authority,Local Authority,Criminal,Total,Total,Brazilian UK,1
Local Authority,Local Authority,Criminal,Total,Total,British Virgin Islander Bangladeshi,1
Local Authority,Local Authority,Criminal,Total,Total,Bulgarian,0
Local Authority,Local Authority,Criminal,Total,Total,Cameroonian,0
Local Authority,Local Authority,Criminal,Total,Total,Central African,2
Local Authority,Local Authority,Criminal,Total,Total,Central African UK,1
Local Authority,Local Authority,Criminal,Total,Total,Chadian,0
Local Authority,Local Authority,Criminal,Total,Total,Chadian Sudanese,0
Local Authority,Local Authority,Criminal,Total,Total,Chinese,0
Local Authority,Local Authority,Criminal,Total,Total,Citizen of the Dominican Republic,0
Local Authority,Local Authority,Criminal,Total,Total,Colombian UK,1
Local Authority,Local Authority,Criminal,Total,Total,Congolese (Congo) UK,1
Local Authority,Local Authority,Criminal,Total,Total,Congolese (DRC),0
Local Authority,Local Authority,Criminal,Total,Total,Czech,2
Local Authority,Local Authority,Criminal,Total,Total,Czech UK,1
Local Authority,Local Authority,Criminal,Total,Total,Dominican UK,1
Local Authority,Local Authority,Criminal,Total,Total,Dutch Somali,1
Local Authority,Local Authority,Criminal,Total,Total,East Timorese,1
Local Authority,Local Authority,Criminal,Total,Total,Egyptian,0
