Year,Quarter,Age at exploitation,Location of exploitation,NRM referrals
2009,Q2,Adult (18 or over),Overseas,1
2009,Q2,Adult (18 or over),UK,4
2009,Q2,Adult (18 or over),UK and Overseas,0
2009,Q2,Adult (18 or over),Not specified or unknown,122
2009,Q2,Adult (18 or over),Total,127
2009,Q2,Child (17 or under),Overseas,0
2009,Q2,Child (17 or under),UK,1
2009,Q2,Child (17 or under),UK and Overseas,0
2009,Q2,Child (17 or under),Not specified or unknown,46
2009,Q2,Child (17 or under),Total,47
2009,Q2,Age not specified or unknown,Overseas,0
2009,Q2,Age not specified or unknown,UK,0
2009,Q2,Age not specified or unknown,UK and Overseas,0
2009,Q2,Age not specified or unknown,Not specified or unknown,0
2009,Q2,Age not specified or unknown,Total,0
2009,Q3,Adult (18 or over),Overseas,2
2009,Q3,Adult (18 or over),UK,3
2009,Q3,Adult (18 or over),UK and Overseas,0
2009,Q3,Adult (18 or over),Not specified or unknown,127
2009,Q3,Adult (18 or over),Total,132
2009,Q3,Child (17 or under),Overseas,0
2009,Q3,Child (17 or under),UK,1
2009,Q3,Child (17 or under),UK and Overseas,0
2009,Q3,Child (17 or under),Not specified or unknown,61
2009,Q3,Child (17 or under),Total,62
2009,Q3,Age not specified or unknown,Overseas,0
2009,Q3,Age not specified or unknown,UK,0
2009,Q3,Age not specified or unknown,UK and Overseas,0
2009,Q3,Age not specified or unknown,Not specified or unknown,0
2009,Q3,Age not specified or unknown,Total,0
2009,Q4,Adult (18 or over),Overseas,0
2009,Q4,Adult (18 or over),UK,4
2009,Q4,Adult (18 or over),UK and Overseas,0
2009,Q4,Adult (18 or over),Not specified or unknown,138
2009,Q4,Adult (18 or over),Total,142
2009,Q4,Child (17 or under),Overseas,0
2009,Q4,Child (17 or under),UK,1
2009,Q4,Child (17 or under),UK and Overseas,0
2009,Q4,Child (17 or under),Not specified or unknown,41
2009,Q4,Child (17 or under),Total,42
2009,Q4,Age not specified or unknown,Overseas,0
2009,Q4,Age not specified or unknown,UK,0
2009,Q4,Age not specified or unknown,UK and Overseas,0
2009,Q4,Age not specified or unknown,Not specified or unknown,0
2009,Q4,Age not specified or unknown,Total,0
2010,Q1,Adult (18 or over),Overseas,0
2010,Q1,Adult (18 or over),UK,14
2010,Q1,Adult (18 or over),UK and Overseas,1
2010,Q1,Adult (18 or over),Not specified or unknown,115
2010,Q1,Adult (18 or over),Total,130
2010,Q1,Child (17 or under),Overseas,0
2010,Q1,Child (17 or under),UK,1
2010,Q1,Child (17 or under),UK and Overseas,0
2010,Q1,Child (17 or under),Not specified or unknown,41
2010,Q1,Child (17 or under),Total,42
2010,Q1,Age not specified or unknown,Overseas,0
2010,Q1,Age not specified or unknown,UK,0
2010,Q1,Age not specified or unknown,UK and Overseas,0
2010,Q1,Age not specified or unknown,Not specified or unknown,0
2010,Q1,Age not specified or unknown,Total,0
2010,Q2,Adult (18 or over),Overseas,0
2010,Q2,Adult (18 or over),UK,0
2010,Q2,Adult (18 or over),UK and Overseas,0
2010,Q2,Adult (18 or over),Not specified or unknown,101
2010,Q2,Adult (18 or over),Total,101
2010,Q2,Child (17 or under),Overseas,0
2010,Q2,Child (17 or under),UK,0
2010,Q2,Child (17 or under),UK and Overseas,0
2010,Q2,Child (17 or under),Not specified or unknown,37
2010,Q2,Child (17 or under),Total,37
2010,Q2,Age not specified or unknown,Overseas,0
2010,Q2,Age not specified or unknown,UK,0
2010,Q2,Age not specified or unknown,UK and Overseas,0
2010,Q2,Age not specified or unknown,Not specified or unknown,0
2010,Q2,Age not specified or unknown,Total,0
2010,Q3,Adult (18 or over),Overseas,0
2010,Q3,Adult (18 or over),UK,16
2010,Q3,Adult (18 or over),UK and Overseas,1
2010,Q3,Adult (18 or over),Not specified or unknown,132
2010,Q3,Adult (18 or over),Total,149
2010,Q3,Child (17 or under),Overseas,0
2010,Q3,Child (17 or under),UK,2
2010,Q3,Child (17 or under),UK and Overseas,0
2010,Q3,Child (17 or under),Not specified or unknown,61
2010,Q3,Child (17 or under),Total,63
2010,Q3,Age not specified or unknown,Overseas,0
2010,Q3,Age not specified or unknown,UK,0
2010,Q3,Age not specified or unknown,UK and Overseas,0
2010,Q3,Age not specified or unknown,Not specified or unknown,0
2010,Q3,Age not specified or unknown,Total,0
2010,Q4,Adult (18 or over),Overseas,0
2010,Q4,Adult (18 or over),UK,25
2010,Q4,Adult (18 or over),UK and Overseas,0
2010,Q4,Adult (18 or over),Not specified or unknown,130
2010,Q4,Adult (18 or over),Total,155
2010,Q4,Child (17 or under),Overseas,0
2010,Q4,Child (17 or under),UK,4
2010,Q4,Child (17 or under),UK and Overseas,0
2010,Q4,Child (17 or under),Not specified or unknown,45
2010,Q4,Child (17 or under),Total,49
2010,Q4,Age not specified or unknown,Overseas,0
2010,Q4,Age not specified or unknown,UK,0
2010,Q4,Age not specified or unknown,UK and Overseas,0
2010,Q4,Age not specified or unknown,Not specified or unknown,0
2010,Q4,Age not specified or unknown,Total,0
2011,Q1,Adult (18 or over),Overseas,2
2011,Q1,Adult (18 or over),UK,43
2011,Q1,Adult (18 or over),UK and Overseas,2
2011,Q1,Adult (18 or over),Not specified or unknown,119
2011,Q1,Adult (18 or over),Total,166
2011,Q1,Child (17 or under),Overseas,0
2011,Q1,Child (17 or under),UK,4
2011,Q1,Child (17 or under),UK and Overseas,3
2011,Q1,Child (17 or under),Not specified or unknown,53
2011,Q1,Child (17 or under),Total,60
2011,Q1,Age not specified or unknown,Overseas,0
2011,Q1,Age not specified or unknown,UK,0
2011,Q1,Age not specified or unknown,UK and Overseas,0
2011,Q1,Age not specified or unknown,Not specified or unknown,0
2011,Q1,Age not specified or unknown,Total,0
2011,Q2,Adult (18 or over),Overseas,5
2011,Q2,Adult (18 or over),UK,82
2011,Q2,Adult (18 or over),UK and Overseas,4
2011,Q2,Adult (18 or over),Not specified or unknown,44
2011,Q2,Adult (18 or over),Total,135
2011,Q2,Child (17 or under),Overseas,2
2011,Q2,Child (17 or under),UK,34
2011,Q2,Child (17 or under),UK and Overseas,1
2011,Q2,Child (17 or under),Not specified or unknown,14
2011,Q2,Child (17 or under),Total,51
2011,Q2,Age not specified or unknown,Overseas,0
2011,Q2,Age not specified or unknown,UK,0
2011,Q2,Age not specified or unknown,UK and Overseas,0
2011,Q2,Age not specified or unknown,Not specified or unknown,0
2011,Q2,Age not specified or unknown,Total,0
2011,Q3,Adult (18 or over),Overseas,15
2011,Q3,Adult (18 or over),UK,94
2011,Q3,Adult (18 or over),UK and Overseas,9
2011,Q3,Adult (18 or over),Not specified or unknown,71
2011,Q3,Adult (18 or over),Total,189
2011,Q3,Child (17 or under),Overseas,2
2011,Q3,Child (17 or under),UK,53
2011,Q3,Child (17 or under),UK and Overseas,6
2011,Q3,Child (17 or under),Not specified or unknown,28
2011,Q3,Child (17 or under),Total,89
2011,Q3,Age not specified or unknown,Overseas,0
2011,Q3,Age not specified or unknown,UK,0
2011,Q3,Age not specified or unknown,UK and Overseas,0
2011,Q3,Age not specified or unknown,Not specified or unknown,0
2011,Q3,Age not specified or unknown,Total,0
2011,Q4,Adult (18 or over),Overseas,7
2011,Q4,Adult (18 or over),UK,54
2011,Q4,Adult (18 or over),UK and Overseas,11
2011,Q4,Adult (18 or over),Not specified or unknown,80
2011,Q4,Adult (18 or over),Total,152
2011,Q4,Child (17 or under),Overseas,4
2011,Q4,Child (17 or under),UK,38
