First responder type,First responder,Exploitation type,Age at exploitation,Gender,Nationality,People
NGO and third sector,Barnardo's,Total,Total,Total,Afghan,0
NGO and third sector,Barnardo's,Total,Total,Total,Albanian,0
NGO and third sector,Barnardo's,Total,Total,Total,Bangladeshi,0
NGO and third sector,Barnardo's,Total,Total,Total,Beninese,0
NGO and third sector,Barnardo's,Total,Total,Total,Bolivian,0
NGO and third sector,Barnardo's,Total,Total,Total,Botswanan,0
NGO and third sector,Barnardo's,Total,Total,Total,Brazilian,0
NGO and third sector,Barnardo's,Total,Total,Total,Cameroonian,0
NGO and third sector,Barnardo's,Total,Total,Total,Chinese,0
NGO and third sector,Barnardo's,Total,Total,Total,Colombian,0
NGO and third sector,Barnardo's,Total,Total,Total,Congolese Drc ,0
NGO and third sector,Barnardo's,Total,Total,Total,Dutch,0
NGO and third sector,Barnardo's,Total,Total,Total,Egyptian,0
NGO and third sector,Barnardo's,Total,Total,Total,Egyptian Syrian,0
NGO and third sector,Barnardo's,Total,Total,Total,Eritrean,1
NGO and third sector,Barnardo's,Total,Total,Total,Ethiopian,0
NGO and third sector,Barnardo's,Total,Total,Total,Ethiopian Sudanese,0
NGO and third sector,Barnardo's,Total,Total,Total,Filipino,0
NGO and third sector,Barnardo's,Total,Total,Total,Gambian,1
NGO and third sector,Barnardo's,Total,Total,Total,Ghanaian,0
NGO and third sector,Barnardo's,Total,Total,Total,Guinean,0
NGO and third sector,Barnardo's,Total,Total,Total,Honduran,0
NGO and third sector,Barnardo's,Total,Total,Total,Indian,0
NGO and third sector,Barnardo's,Total,Total,Total,Iranian,0
NGO and third sector,Barnardo's,Total,Total,Total,Iraqi,1
NGO and third sector,Barnardo's,Total,Total,Total,Iraqi Iranian,0
NGO and third sector,Barnardo's,Total,Total,Total,Iraqi UK,0
NGO and third sector,Barnardo's,Total,Total,Total,Ivorian,0
NGO and third sector,Barnardo's,Total,Total,Total,Jamaican,0
NGO and third sector,Barnardo's,Total,Total,Total,Jordanian,0
NGO and third sector,Barnardo's,Total,Total,Total,Kenyan,0
