Date,Year,Quarter,Under 18,18 to 25,26 to 30,31 to 40,41 to 50,51 to 60,61 to 70,71 to 80,Over 80
2017-09-30,2017,3,123,15,18,115,77,10,3,2,0
2017-12-31,2017,4,200,42,60,243,158,24,10,5,0
2018-03-31,2018,1,168,42,59,224,169,25,11,9,1
2018-06-30,2018,2,174,47,58,246,161,28,10,3,2
2018-09-30,2018,3,235,59,59,250,192,32,6,6,0
2018-12-31,2018,4,248,44,73,302,198,32,9,8,2
2019-03-31,2019,1,215,40,70,298,193,38,3,2,0
2019-06-30,2019,2,236,63,60,330,225,38,17,8,1
2019-09-30,2019,3,193,46,55,276,180,46,17,15,3
2019-12-31,2019,4,204,52,64,319,214,41,20,10,2
2020-03-31,2020,1,208,39,51,271,217,46,18,11,2
2020-06-30,2020,2,1376,303,372,2019,1306,285,59,23,5
2020-09-30,2020,3,763,199,182,928,694,185,46,26,6
2020-12-31,2020,4,373,109,100,552,425,127,43,21,2
2021-03-31,2021,1,288,108,111,557,410,105,32,15,5
2021-06-30,2021,2,236,68,75,371,301,70,36,15,5
2021-09-30,2021,3,163,68,55,282,219,65,23,15,4
2021-12-31,2021,4,122,50,71,280,186,54,25,13,1
2022-03-31,2022,1,125,49,72,232,170,45,33,13,5
2022-06-30,2022,2,129,45,75,250,184,48,35,9,2
2022-09-30,2022,3,143,36,77,275,185,56,31,13,4
2022-12-31,2022,4,137,51,80,293,200,66,35,15,3
2023-03-31,2023,1,172,45,84,282,220,65,47,17,3
