Category,Nationality,Enforced returns,Voluntary returns,Refused entry at port and subsequently departed
Asylum-related,Albania,1487,1852,30
Asylum-related,India,59,284,17
Asylum-related,Iraq,22,144,7
Asylum-related,Brazil,56,109,6
Asylum-related,Pakistan,27,121,6
Asylum-related,China,15,123,5
Asylum-related,Honduras,0,123,6
Asylum-related,El Salvador,1,117,0
Asylum-related,Iran,4,87,1
Asylum-related,Bangladesh,12,66,2
Asylum-related,Other,179,984,62
Non asylum-related,Romania,1097,254,7216
Non asylum-related,India,168,3600,729
Non asylum-related,Brazil,462,2361,1530
Non asylum-related,Albania,1014,1418,326
Non asylum-related,Bulgaria,140,45,1821
Non asylum-related,China,38,1565,257
Non asylum-related,Poland,261,26,789
Non asylum-related,Nigeria,16,600,265
Non asylum-related,Portugal,75,38,608
Non asylum-related,Spain,30,26,594
Non asylum-related,Other,1230,5310,10310
