Date,Year,Quarter,Return type group,Return type,Return destination,Return destination region,Number of returns
2004-03-31,2004,1,Enforced return,Enforced removals,Afghanistan,Asia Central,66
2004-03-31,2004,1,Enforced return,Enforced removals,Albania,Europe Other,193
2004-03-31,2004,1,Enforced return,Enforced removals,Algeria,Africa North,59
2004-03-31,2004,1,Enforced return,Enforced removals,Angola,Africa Sub-Saharan,18
2004-03-31,2004,1,Enforced return,Enforced removals,Antigua and Barbuda,America Central and South,2
2004-03-31,2004,1,Enforced return,Enforced removals,Armenia,Europe Other,4
2004-03-31,2004,1,Enforced return,Enforced removals,Australia,Oceania,1
2004-03-31,2004,1,Enforced return,Enforced removals,Austria,EU 14,77
2004-03-31,2004,1,Enforced return,Enforced removals,Azerbaijan,Europe Other,4
2004-03-31,2004,1,Enforced return,Enforced removals,Bangladesh,Asia South,154
2004-03-31,2004,1,Enforced return,Enforced removals,Barbados,America Central and South,3
2004-03-31,2004,1,Enforced return,Enforced removals,Belarus,Europe Other,25
2004-03-31,2004,1,Enforced return,Enforced removals,Belgium,EU 14,25
2004-03-31,2004,1,Enforced return,Enforced removals,Bolivia,America Central and South,46
2004-03-31,2004,1,Enforced return,Enforced removals,Botswana,Africa Sub-Saharan,1
2004-03-31,2004,1,Enforced return,Enforced removals,Brazil,America Central and South,298
2004-03-31,2004,1,Enforced return,Enforced removals,Bulgaria,EU 2,25
2004-03-31,2004,1,Enforced return,Enforced removals,Burma,Asia South East,3
2004-03-31,2004,1,Enforced return,Enforced removals,Cameroon,Africa Sub-Saharan,18
2004-03-31,2004,1,Enforced return,Enforced removals,Canada,America North,2
2004-03-31,2004,1,Enforced return,Enforced removals,Cape Verde,Africa Sub-Saharan,1
2004-03-31,2004,1,Enforced return,Enforced removals,Chile,America Central and South,8
2004-03-31,2004,1,Enforced return,Enforced removals,China,Asia East,50
2004-03-31,2004,1,Enforced return,Enforced removals,Colombia,America Central and South,60
2004-03-31,2004,1,Enforced return,Enforced removals,Congo,Africa Sub-Saharan,5
2004-03-31,2004,1,Enforced return,Enforced removals,Congo (Democratic Republic),Africa Sub-Saharan,1
2004-03-31,2004,1,Enforced return,Enforced removals,Croatia,EU Other,20
2004-03-31,2004,1,Enforced return,Enforced removals,Cuba,America Central and South,1
2004-03-31,2004,1,Enforced return,Enforced removals,Cyprus,EU Other,8
2004-03-31,2004,1,Enforced return,Enforced removals,Czech Republic,EU 8,206
2004-03-31,2004,1,Enforced return,Enforced removals,Denmark,EU 14,9
2004-03-31,2004,1,Enforced return,Enforced removals,Dominica,America Central and South,1
2004-03-31,2004,1,Enforced return,Enforced removals,Ecuador,America Central and South,94
2004-03-31,2004,1,Enforced return,Enforced removals,Egypt,Africa North,11
2004-03-31,2004,1,Enforced return,Enforced removals,Equatorial Guinea,Africa Sub-Saharan,1
2004-03-31,2004,1,Enforced return,Enforced removals,Estonia,EU 8,31
2004-03-31,2004,1,Enforced return,Enforced removals,Finland,EU 14,1
2004-03-31,2004,1,Enforced return,Enforced removals,France,EU 14,123
2004-03-31,2004,1,Enforced return,Enforced removals,Gabon,Africa Sub-Saharan,1
2004-03-31,2004,1,Enforced return,Enforced removals,"Gambia, The",Africa Sub-Saharan,19
2004-03-31,2004,1,Enforced return,Enforced removals,Georgia,Europe Other,17
2004-03-31,2004,1,Enforced return,Enforced removals,Germany,EU 14,128
2004-03-31,2004,1,Enforced return,Enforced removals,Ghana,Africa Sub-Saharan,216
2004-03-31,2004,1,Enforced return,Enforced removals,Greece,EU 14,40
2004-03-31,2004,1,Enforced return,Enforced removals,Grenada,America Central and South,4
2004-03-31,2004,1,Enforced return,Enforced removals,Guatemala,America Central and South,1
2004-03-31,2004,1,Enforced return,Enforced removals,Guinea,Africa Sub-Saharan,5
2004-03-31,2004,1,Enforced return,Enforced removals,Guinea-Bissau,Africa Sub-Saharan,3
2004-03-31,2004,1,Enforced return,Enforced removals,Guyana,America Central and South,6
2004-03-31,2004,1,Enforced return,Enforced removals,Hong Kong,Asia East,9
2004-03-31,2004,1,Enforced return,Enforced removals,Hungary,EU 8,9
2004-03-31,2004,1,Enforced return,Enforced removals,India,Asia South,108
2004-03-31,2004,1,Enforced return,Enforced removals,Indonesia,Asia South East,3
2004-03-31,2004,1,Enforced return,Enforced removals,Iran,Middle East,12
2004-03-31,2004,1,Enforced return,Enforced removals,Iraq,Middle East,2
2004-03-31,2004,1,Enforced return,Enforced removals,Ireland,EU 14,79
2004-03-31,2004,1,Enforced return,Enforced removals,Israel,Middle East,1
2004-03-31,2004,1,Enforced return,Enforced removals,Italy,EU 14,110
2004-03-31,2004,1,Enforced return,Enforced removals,Ivory Coast,Africa Sub-Saharan,19
2004-03-31,2004,1,Enforced return,Enforced removals,Jamaica,America Central and South,463
2004-03-31,2004,1,Enforced return,Enforced removals,Jordan,Middle East,4
2004-03-31,2004,1,Enforced return,Enforced removals,Kenya,Africa Sub-Saharan,64
2004-03-31,2004,1,Enforced return,Enforced removals,Korea (South),Asia East,1
2004-03-31,2004,1,Enforced return,Enforced removals,Kuwait,Middle East,2
2004-03-31,2004,1,Enforced return,Enforced removals,Kyrgyzstan,Asia Central,1
2004-03-31,2004,1,Enforced return,Enforced removals,Latvia,EU 8,110
2004-03-31,2004,1,Enforced return,Enforced removals,Lebanon,Middle East,3
2004-03-31,2004,1,Enforced return,Enforced removals,Lesotho,Africa Sub-Saharan,1
2004-03-31,2004,1,Enforced return,Enforced removals,Liberia,Africa Sub-Saharan,7
2004-03-31,2004,1,Enforced return,Enforced removals,Libya,Africa North,8
2004-03-31,2004,1,Enforced return,Enforced removals,Lithuania,EU 8,286
2004-03-31,2004,1,Enforced return,Enforced removals,Luxembourg,EU 14,1
2004-03-31,2004,1,Enforced return,Enforced removals,Macedonia,Europe Other,3
2004-03-31,2004,1,Enforced return,Enforced removals,Malawi,Africa Sub-Saharan,27
2004-03-31,2004,1,Enforced return,Enforced removals,Malaysia,Asia South East,62
2004-03-31,2004,1,Enforced return,Enforced removals,Mauritius,Africa Sub-Saharan,7
2004-03-31,2004,1,Enforced return,Enforced removals,Mexico,America Central and South,2
2004-03-31,2004,1,Enforced return,Enforced removals,Moldova,Europe Other,31
2004-03-31,2004,1,Enforced return,Enforced removals,Mongolia,Asia East,34
2004-03-31,2004,1,Enforced return,Enforced removals,Morocco,Africa North,9
2004-03-31,2004,1,Enforced return,Enforced removals,Mozambique,Africa Sub-Saharan,4
2004-03-31,2004,1,Enforced return,Enforced removals,Namibia,Africa Sub-Saharan,3
2004-03-31,2004,1,Enforced return,Enforced removals,Nepal,Asia South,43
2004-03-31,2004,1,Enforced return,Enforced removals,Netherlands,EU 14,55
