Date,Year,Quarter,Return destination,Return destination region,Number of foreign national offender returns
2010-01-01,2010,1,Afghanistan,Asia Central,25
2010-01-01,2010,1,Albania,Europe Other,33
2010-01-01,2010,1,Algeria,Africa North,17
2010-01-01,2010,1,Angola,Africa Sub-Saharan,3
2010-01-01,2010,1,Australia,Oceania,1
2010-01-01,2010,1,Austria,EU 14,2
2010-01-01,2010,1,"Bahamas, The",America Central and South,1
2010-01-01,2010,1,Bangladesh,Asia South,19
2010-01-01,2010,1,Barbados,America Central and South,2
2010-01-01,2010,1,Belgium,EU 14,2
2010-01-01,2010,1,Benin,Africa Sub-Saharan,2
2010-01-01,2010,1,Bolivia,America Central and South,2
2010-01-01,2010,1,Bosnia and Herzegovina,Europe Other,1
2010-01-01,2010,1,Brazil,America Central and South,32
2010-01-01,2010,1,Bulgaria,EU 2,5
2010-01-01,2010,1,Cameroon,Africa Sub-Saharan,3
2010-01-01,2010,1,Canada,America North,2
2010-01-01,2010,1,Chile,America Central and South,5
2010-01-01,2010,1,China,Asia East,120
2010-01-01,2010,1,Colombia,America Central and South,10
2010-01-01,2010,1,Congo,Africa Sub-Saharan,1
2010-01-01,2010,1,Congo (Democratic Republic),Africa Sub-Saharan,6
2010-01-01,2010,1,Costa Rica,America Central and South,1
2010-01-01,2010,1,Croatia,EU Other,2
2010-01-01,2010,1,Cyprus,EU Other,1
2010-01-01,2010,1,Czech Republic,EU 8,5
2010-01-01,2010,1,Ecuador,America Central and South,1
2010-01-01,2010,1,Egypt,Africa North,6
2010-01-01,2010,1,Estonia,EU 8,1
2010-01-01,2010,1,Ethiopia,Africa Sub-Saharan,1
2010-01-01,2010,1,Fiji,Oceania,1
2010-01-01,2010,1,Finland,EU 14,1
2010-01-01,2010,1,France,EU 14,26
2010-01-01,2010,1,"Gambia, The",Africa Sub-Saharan,11
2010-01-01,2010,1,Georgia,Europe Other,13
2010-01-01,2010,1,Germany,EU 14,15
2010-01-01,2010,1,Ghana,Africa Sub-Saharan,35
2010-01-01,2010,1,Greece,EU 14,2
2010-01-01,2010,1,Guatemala,America Central and South,1
2010-01-01,2010,1,Guinea,Africa Sub-Saharan,1
2010-01-01,2010,1,Guyana,America Central and South,5
2010-01-01,2010,1,Hong Kong,Asia East,2
2010-01-01,2010,1,Hungary,EU 8,5
2010-01-01,2010,1,India,Asia South,63
2010-01-01,2010,1,Iran,Middle East,9
2010-01-01,2010,1,Iraq,Middle East,16
2010-01-01,2010,1,Ireland,EU 14,3
2010-01-01,2010,1,Italy,EU 14,6
2010-01-01,2010,1,Ivory Coast,Africa Sub-Saharan,4
2010-01-01,2010,1,Jamaica,America Central and South,79
2010-01-01,2010,1,Jordan,Middle East,1
2010-01-01,2010,1,Kenya,Africa Sub-Saharan,7
2010-01-01,2010,1,Kosovo,Europe Other,4
2010-01-01,2010,1,Latvia,EU 8,6
2010-01-01,2010,1,Lebanon,Middle East,1
2010-01-01,2010,1,Liberia,Africa Sub-Saharan,1
2010-01-01,2010,1,Libya,Africa North,1
2010-01-01,2010,1,Lithuania,EU 8,18
2010-01-01,2010,1,Malawi,Africa Sub-Saharan,3
2010-01-01,2010,1,Malaysia,Asia South East,16
2010-01-01,2010,1,Mali,Africa Sub-Saharan,1
2010-01-01,2010,1,Mauritius,Africa Sub-Saharan,4
2010-01-01,2010,1,Mexico,America Central and South,5
