Date,Year,Quarter,Nationality,Region,Sex,Age Group,NRM Case Outcome,NRM Case Outcome Group,Referrals
2018-01-01,2018,1,Albania,Europe Other,Female,18 to 29,Awaiting a conclusive grounds decision,Awaiting a decision,1
2018-01-01,2018,1,Albania,Europe Other,Female,18 to 29,Positive,Reasonable grounds decision,1
2018-01-01,2018,1,Albania,Europe Other,Male,18 to 29,Negative,Reasonable grounds decision,1
2018-01-01,2018,1,Albania,Europe Other,Male,18 to 29,Positive,Conclusive grounds decision,1
2018-01-01,2018,1,Albania,Europe Other,Male,18 to 29,Positive,Reasonable grounds decision,1
2018-07-01,2018,3,Iran,Middle East,Male,30 to 49,Withdrawn/Closed,Withdrawn/Closed,1
2018-07-01,2018,3,Vietnam,Asia South East,Male,18 to 29,Negative,Conclusive grounds decision,1
2018-07-01,2018,3,Vietnam,Asia South East,Male,18 to 29,Negative,Reasonable grounds decision,1
2018-07-01,2018,3,Vietnam,Asia South East,Male,18 to 29,Positive,Conclusive grounds decision,2
2018-07-01,2018,3,Vietnam,Asia South East,Male,18 to 29,Positive,Reasonable grounds decision,3
2018-10-01,2018,4,Albania,Europe Other,Male,18 to 29,Positive,Conclusive grounds decision,1
2018-10-01,2018,4,Albania,Europe Other,Male,18 to 29,Positive,Reasonable grounds decision,1
2018-10-01,2018,4,Iran,Middle East,Female,30 to 49,Positive,Conclusive grounds decision,1
2018-10-01,2018,4,Iran,Middle East,Female,30 to 49,Positive,Reasonable grounds decision,1
2018-10-01,2018,4,Iran,Middle East,Male,18 to 29,Positive,Conclusive grounds decision,1
2018-10-01,2018,4,Iran,Middle East,Male,18 to 29,Positive,Reasonable grounds decision,1
2018-10-01,2018,4,Iran,Middle East,Male,30 to 49,Negative,Reasonable grounds decision,1
2019-01-01,2019,1,Iran,Middle East,Male,18 to 29,Positive,Conclusive grounds decision,1
2019-01-01,2019,1,Iran,Middle East,Male,18 to 29,Positive,Reasonable grounds decision,1
2019-01-01,2019,1,Iran,Middle East,Male,30 to 49,Negative,Conclusive grounds decision,1
2019-01-01,2019,1,Iran,Middle East,Male,30 to 49,Positive,Conclusive grounds decision,2
2019-01-01,2019,1,Iran,Middle East,Male,30 to 49,Positive,Reasonable grounds decision,3
2019-01-01,2019,1,Iraq,Middle East,Male,18 to 29,Negative,Reasonable grounds decision,3
2019-04-01,2019,2,Afghanistan,Asia Central,Male,30 to 49,Positive,Conclusive grounds decision,1
2019-04-01,2019,2,Afghanistan,Asia Central,Male,30 to 49,Positive,Reasonable grounds decision,1
2019-04-01,2019,2,Afghanistan,Asia Central,Male,17 and under,Negative,Reasonable grounds decision,1
2019-04-01,2019,2,Iran,Middle East,Female,18 to 29,Positive,Conclusive grounds decision,1
2019-04-01,2019,2,Iran,Middle East,Female,18 to 29,Positive,Reasonable grounds decision,1
2019-04-01,2019,2,Iran,Middle East,Female,50 to 69,Withdrawn/Closed,Withdrawn/Closed,1
2019-04-01,2019,2,Iran,Middle East,Male,18 to 29,Awaiting a conclusive grounds decision,Awaiting a decision,3
2019-04-01,2019,2,Iran,Middle East,Male,18 to 29,Negative,Conclusive grounds decision,2
2019-04-01,2019,2,Iran,Middle East,Male,18 to 29,Negative,Reasonable grounds decision,4
