Date,Year,Quarter,NRM referral,Nationality,Region,Sex,Age Group,Referrals
2018-03-31,2018,1,No NRM referral raised,Albania,Europe Other,Male,25 to 39,4
2018-03-31,2018,1,NRM referral raised,Albania,Europe Other,Female,18 to 24,1
2018-03-31,2018,1,NRM referral raised,Albania,Europe Other,Male,18 to 24,2
2018-06-30,2018,2,No NRM referral raised,Ukraine,Europe Other,Female,17 and under,2
2018-06-30,2018,2,No NRM referral raised,Ukraine,Europe Other,Female,25 to 39,1
2018-06-30,2018,2,No NRM referral raised,Ukraine,Europe Other,Male,40 and over,1
2018-09-30,2018,3,No NRM referral raised,Afghanistan,Asia Central,Male,18 to 24,1
2018-09-30,2018,3,No NRM referral raised,Afghanistan,Asia Central,Male,25 to 39,1
2018-09-30,2018,3,No NRM referral raised,Albania,Europe Other,Male,18 to 24,1
2018-09-30,2018,3,No NRM referral raised,Albania,Europe Other,Male,40 and over,1
2018-09-30,2018,3,No NRM referral raised,Iran,Middle East,Female,25 to 39,1
2018-09-30,2018,3,No NRM referral raised,Iran,Middle East,Male,18 to 24,1
2018-09-30,2018,3,No NRM referral raised,Iran,Middle East,Male,25 to 39,2
2018-09-30,2018,3,No NRM referral raised,Iraq,Middle East,Female,25 to 39,1
2018-09-30,2018,3,No NRM referral raised,Iraq,Middle East,Male,17 and under,1
2018-09-30,2018,3,No NRM referral raised,Iraq,Middle East,Male,25 to 39,2
2018-09-30,2018,3,NRM referral raised,Iran,Middle East,Male,25 to 39,1
2018-09-30,2018,3,NRM referral raised,Vietnam,Asia South East,Male,18 to 24,2
2018-09-30,2018,3,NRM referral raised,Vietnam,Asia South East,Male,25 to 39,2
2018-12-31,2018,4,No NRM referral raised,Afghanistan,Asia Central,Female,17 and under,1
2018-12-31,2018,4,No NRM referral raised,Albania,Europe Other,Male,25 to 39,5
2018-12-31,2018,4,No NRM referral raised,Albania,Europe Other,Male,40 and over,1
2018-12-31,2018,4,No NRM referral raised,Iran,Middle East,Female,17 and under,1
2018-12-31,2018,4,No NRM referral raised,Iran,Middle East,Female,18 to 24,1
