Date,Year,Quarter,Asylum application,Nationality,Region,Applicant type,UASC,Sex,Age Group,Applications
2018-03-31,2018,1,Asylum application raised,Albania,Europe Other,Main applicant,Non-UASC,Female,18 to 24,1
2018-03-31,2018,1,Asylum application raised,Albania,Europe Other,Main applicant,Non-UASC,Male,18 to 24,1
2018-03-31,2018,1,Asylum application raised,Albania,Europe Other,Main applicant,Non-UASC,Male,25 to 39,4
2018-03-31,2018,1,No asylum application raised,Albania,Europe Other,N/A - No asylum application,Non-UASC,Male,18 to 24,1
2018-06-30,2018,2,Asylum application raised,Ukraine,Europe Other,Dependant,Non-UASC,Female,17 and under,2
2018-06-30,2018,2,Asylum application raised,Ukraine,Europe Other,Dependant,Non-UASC,Female,25 to 39,1
2018-06-30,2018,2,Asylum application raised,Ukraine,Europe Other,Main applicant,Non-UASC,Male,40 and over,1
2018-09-30,2018,3,Asylum application raised,Afghanistan,Asia Central,Main applicant,Non-UASC,Male,18 to 24,1
2018-09-30,2018,3,Asylum application raised,Afghanistan,Asia Central,Main applicant,Non-UASC,Male,25 to 39,1
2018-09-30,2018,3,Asylum application raised,Iran,Middle East,Dependant,Non-UASC,Female,25 to 39,1
2018-09-30,2018,3,Asylum application raised,Iran,Middle East,Main applicant,Non-UASC,Male,18 to 24,1
2018-09-30,2018,3,Asylum application raised,Iran,Middle East,Main applicant,Non-UASC,Male,25 to 39,3
2018-09-30,2018,3,Asylum application raised,Iraq,Middle East,Dependant,Non-UASC,Male,17 and under,1
2018-09-30,2018,3,Asylum application raised,Iraq,Middle East,Dependant,Non-UASC,Female,25 to 39,1
2018-09-30,2018,3,Asylum application raised,Iraq,Middle East,Main applicant,Non-UASC,Male,25 to 39,2
2018-09-30,2018,3,Asylum application raised,Vietnam,Asia South East,Main applicant,Non-UASC,Male,18 to 24,2
2018-09-30,2018,3,Asylum application raised,Vietnam,Asia South East,Main applicant,Non-UASC,Male,25 to 39,2
2018-09-30,2018,3,No asylum application raised,Albania,Europe Other,N/A - No asylum application,Non-UASC,Male,18 to 24,1
2018-09-30,2018,3,No asylum application raised,Albania,Europe Other,N/A - No asylum application,Non-UASC,Male,40 and over,1
2018-12-31,2018,4,Asylum application raised,Afghanistan,Asia Central,Main applicant,UASC,Female,17 and under,1
2018-12-31,2018,4,Asylum application raised,Albania,Europe Other,Main applicant,Non-UASC,Male,25 to 39,1
2018-12-31,2018,4,Asylum application raised,Albania,Europe Other,Main applicant,Non-UASC,Male,40 and over,1
2018-12-31,2018,4,Asylum application raised,Iran,Middle East,Dependant,Non-UASC,Female,17 and under,1
2018-12-31,2018,4,Asylum application raised,Iran,Middle East,Dependant,Non-UASC,Male,17 and under,5
2018-12-31,2018,4,Asylum application raised,Iran,Middle East,Dependant,Non-UASC,Female,25 to 39,4
2018-12-31,2018,4,Asylum application raised,Iran,Middle East,Main applicant,Non-UASC,Male,17 and under,1
2018-12-31,2018,4,Asylum application raised,Iran,Middle East,Main applicant,Non-UASC,Female,18 to 24,1
2018-12-31,2018,4,Asylum application raised,Iran,Middle East,Main applicant,Non-UASC,Male,18 to 24,24
2018-12-31,2018,4,Asylum application raised,Iran,Middle East,Main applicant,Non-UASC,Female,25 to 39,4
2018-12-31,2018,4,Asylum application raised,Iran,Middle East,Main applicant,Non-UASC,Male,25 to 39,157
