Date,Year,Quarter,Nationality,Region,Asylum Case Outcome,Asylum Case Outcome Group,Applicant type,UASC,Sex,Age Group,Decisions
2018-03-31,2018,1,Albania,Europe Other,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,25 to 39,1
2018-03-31,2018,1,Albania,Europe Other,Awaiting initial decision,Awaiting initial decision,Main applicant,Non-UASC,Female,18 to 24,1
2018-03-31,2018,1,Albania,Europe Other,Awaiting initial decision,Awaiting initial decision,Main applicant,Non-UASC,Male,25 to 39,1
2018-03-31,2018,1,Albania,Europe Other,Non-substantiated withdrawal,Withdrawn,Main applicant,Non-UASC,Male,18 to 24,1
2018-03-31,2018,1,Albania,Europe Other,Non-substantiated withdrawal,Withdrawn,Main applicant,Non-UASC,Male,25 to 39,1
2018-03-31,2018,1,Albania,Europe Other,Other Withdrawal,Withdrawn,Main applicant,Non-UASC,Male,25 to 39,1
2018-06-30,2018,2,Ukraine,Europe Other,3rd Country Refusal,Refused,Dependant,Non-UASC,Female,17 and under,2
2018-06-30,2018,2,Ukraine,Europe Other,3rd Country Refusal,Refused,Dependant,Non-UASC,Female,25 to 39,1
2018-06-30,2018,2,Ukraine,Europe Other,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,40 and over,1
2018-09-30,2018,3,Afghanistan,Asia Central,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,25 to 39,1
2018-09-30,2018,3,Afghanistan,Asia Central,Other Refusals,Refused,Main applicant,Non-UASC,Male,18 to 24,1
2018-09-30,2018,3,Iran,Middle East,Refugee Permission,Grant of Protection,Dependant,Non-UASC,Female,25 to 39,1
2018-09-30,2018,3,Iran,Middle East,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,18 to 24,1
2018-09-30,2018,3,Iran,Middle East,Refugee Permission,Grant of Protection,Main applicant,Non-UASC,Male,25 to 39,3
2018-09-30,2018,3,Iraq,Middle East,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,25 to 39,1
2018-09-30,2018,3,Iraq,Middle East,Other Refusals,Refused,Dependant,Non-UASC,Female,25 to 39,1
2018-09-30,2018,3,Iraq,Middle East,Other Refusals,Refused,Dependant,Non-UASC,Male,17 and under,1
2018-09-30,2018,3,Iraq,Middle East,Other Refusals,Refused,Main applicant,Non-UASC,Male,25 to 39,1
2018-09-30,2018,3,Vietnam,Asia South East,Awaiting initial decision,Awaiting initial decision,Main applicant,Non-UASC,Male,18 to 24,1
2018-09-30,2018,3,Vietnam,Asia South East,Non-substantiated withdrawal,Withdrawn,Main applicant,Non-UASC,Male,25 to 39,1
2018-09-30,2018,3,Vietnam,Asia South East,Other Refusals,Refused,Main applicant,Non-UASC,Male,18 to 24,1
2018-09-30,2018,3,Vietnam,Asia South East,Other Withdrawal,Withdrawn,Main applicant,Non-UASC,Male,25 to 39,1
2018-12-31,2018,4,Afghanistan,Asia Central,Refugee Permission,Grant of Protection,Main applicant,UASC,Female,17 and under,1
2018-12-31,2018,4,Albania,Europe Other,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,40 and over,1
2018-12-31,2018,4,Albania,Europe Other,Non-substantiated withdrawal,Withdrawn,Main applicant,Non-UASC,Male,25 to 39,1
2018-12-31,2018,4,Iran,Middle East,3rd Country Refusal,Refused,Main applicant,Non-UASC,Female,18 to 24,1
2018-12-31,2018,4,Iran,Middle East,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,18 to 24,1
2018-12-31,2018,4,Iran,Middle East,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,25 to 39,29
2018-12-31,2018,4,Iran,Middle East,3rd Country Refusal,Refused,Main applicant,Non-UASC,Male,40 and over,8
2018-12-31,2018,4,Iran,Middle East,Awaiting initial decision,Awaiting initial decision,Main applicant,Non-UASC,Male,25 to 39,1
