Year,Nationality,Region,Support type granted,Group type,Applications
2013,Afghanistan,Asia Central,Accommodation,Family,119
2013,Afghanistan,Asia Central,Accommodation,Single adult,278
2013,Afghanistan,Asia Central,Closed / Invalid,Family,2
2013,Afghanistan,Asia Central,Closed / Invalid,Single adult,108
2013,Afghanistan,Asia Central,Subsistence Only,Family,8
2013,Afghanistan,Asia Central,Subsistence Only,Single adult,62
2013,Albania,Europe Other,Accommodation,Family,177
2013,Albania,Europe Other,Accommodation,Single adult,170
2013,Albania,Europe Other,Closed / Invalid,Family,7
2013,Albania,Europe Other,Closed / Invalid,Single adult,43
2013,Albania,Europe Other,Subsistence Only,Family,33
2013,Albania,Europe Other,Subsistence Only,Single adult,35
2013,Algeria,Africa North,Accommodation,Family,18
2013,Algeria,Africa North,Accommodation,Single adult,49
2013,Algeria,Africa North,Closed / Invalid,Single adult,12
2013,Algeria,Africa North,Subsistence Only,Single adult,8
2013,Angola,Africa Sub-Saharan,Accommodation,Family,3
2013,Angola,Africa Sub-Saharan,Accommodation,Single adult,23
2013,Angola,Africa Sub-Saharan,Subsistence Only,Family,1
2013,Angola,Africa Sub-Saharan,Subsistence Only,Single adult,6
2013,Armenia,Europe Other,Accommodation,Family,3
2013,Armenia,Europe Other,Accommodation,Single adult,3
2013,Armenia,Europe Other,Closed / Invalid,Single adult,3
2013,Armenia,Europe Other,Subsistence Only,Family,1
2013,Armenia,Europe Other,Subsistence Only,Single adult,3
2013,Australia,Oceania,Accommodation,Single adult,1
2013,Azerbaijan,Europe Other,Accommodation,Family,4
2013,Azerbaijan,Europe Other,Accommodation,Single adult,5
2013,Azerbaijan,Europe Other,Subsistence Only,Single adult,1
2013,Bahrain,Middle East,Accommodation,Family,1
2013,Bahrain,Middle East,Accommodation,Single adult,3
2013,Bahrain,Middle East,Closed / Invalid,Single adult,1
2013,Bahrain,Middle East,Subsistence Only,Single adult,5
2013,Bangladesh,Asia South,Accommodation,Family,37
2013,Bangladesh,Asia South,Accommodation,Single adult,58
2013,Bangladesh,Asia South,Closed / Invalid,Family,2
2013,Bangladesh,Asia South,Closed / Invalid,Single adult,43
2013,Bangladesh,Asia South,Subsistence Only,Family,6
2013,Bangladesh,Asia South,Subsistence Only,Single adult,17
2013,Belarus,Europe Other,Accommodation,Single adult,7
2013,Belarus,Europe Other,Closed / Invalid,Single adult,2
2013,Belarus,Europe Other,Subsistence Only,Family,1
2013,Benin,Africa Sub-Saharan,Accommodation,Family,4
2013,Bhutan,Asia South,Accommodation,Single adult,4
2013,Bhutan,Asia South,Closed / Invalid,Single adult,2
