Date,Nationality,Region,Support Type,Support Sub-Type,UK Region,People
2014-03-31,N/A - Section 4 (pre-2018),N/A - Section 4 (pre-2018),Section 4,Dispersed Accommodation,N/A - Section 4 (pre-2018),4854
2014-03-31,Afghanistan,Asia Central,Section 95,Dispersed Accommodation,East Midlands,100
2014-03-31,Afghanistan,Asia Central,Section 95,Dispersed Accommodation,East of England,3
2014-03-31,Afghanistan,Asia Central,Section 95,Dispersed Accommodation,London,14
2014-03-31,Afghanistan,Asia Central,Section 95,Dispersed Accommodation,North East,88
2014-03-31,Afghanistan,Asia Central,Section 95,Dispersed Accommodation,North West,240
2014-03-31,Afghanistan,Asia Central,Section 95,Dispersed Accommodation,Scotland,46
2014-03-31,Afghanistan,Asia Central,Section 95,Dispersed Accommodation,South East,11
2014-03-31,Afghanistan,Asia Central,Section 95,Dispersed Accommodation,South West,17
2014-03-31,Afghanistan,Asia Central,Section 95,Dispersed Accommodation,Unknown,19
2014-03-31,Afghanistan,Asia Central,Section 95,Dispersed Accommodation,Wales,133
2014-03-31,Afghanistan,Asia Central,Section 95,Dispersed Accommodation,West Midlands,221
2014-03-31,Afghanistan,Asia Central,Section 95,Dispersed Accommodation,Yorkshire and The Humber,104
2014-03-31,Afghanistan,Asia Central,Section 95,Subsistence Only,East Midlands,6
2014-03-31,Afghanistan,Asia Central,Section 95,Subsistence Only,East of England,1
2014-03-31,Afghanistan,Asia Central,Section 95,Subsistence Only,London,117
2014-03-31,Afghanistan,Asia Central,Section 95,Subsistence Only,North East,1
2014-03-31,Afghanistan,Asia Central,Section 95,Subsistence Only,North West,8
2014-03-31,Afghanistan,Asia Central,Section 95,Subsistence Only,Scotland,2
2014-03-31,Afghanistan,Asia Central,Section 95,Subsistence Only,South East,8
2014-03-31,Afghanistan,Asia Central,Section 95,Subsistence Only,Unknown,5
2014-03-31,Afghanistan,Asia Central,Section 95,Subsistence Only,Wales,1
2014-03-31,Afghanistan,Asia Central,Section 95,Subsistence Only,West Midlands,27
2014-03-31,Afghanistan,Asia Central,Section 95,Subsistence Only,Yorkshire and The Humber,1
2014-03-31,Albania,Europe Other,Section 95,Dispersed Accommodation,East Midlands,65
2014-03-31,Albania,Europe Other,Section 95,Dispersed Accommodation,East of England,6
2014-03-31,Albania,Europe Other,Section 95,Dispersed Accommodation,London,46
2014-03-31,Albania,Europe Other,Section 95,Dispersed Accommodation,North East,82
2014-03-31,Albania,Europe Other,Section 95,Dispersed Accommodation,North West,172
2014-03-31,Albania,Europe Other,Section 95,Dispersed Accommodation,Scotland,18
2014-03-31,Albania,Europe Other,Section 95,Dispersed Accommodation,South East,5
2014-03-31,Albania,Europe Other,Section 95,Dispersed Accommodation,South West,25
2014-03-31,Albania,Europe Other,Section 95,Dispersed Accommodation,Unknown,15
2014-03-31,Albania,Europe Other,Section 95,Dispersed Accommodation,Wales,50
2014-03-31,Albania,Europe Other,Section 95,Dispersed Accommodation,West Midlands,116
2014-03-31,Albania,Europe Other,Section 95,Dispersed Accommodation,Yorkshire and The Humber,109
2014-03-31,Albania,Europe Other,Section 95,Subsistence Only,East Midlands,5
2014-03-31,Albania,Europe Other,Section 95,Subsistence Only,East of England,18
2014-03-31,Albania,Europe Other,Section 95,Subsistence Only,London,164
2014-03-31,Albania,Europe Other,Section 95,Subsistence Only,Scotland,1
2014-03-31,Albania,Europe Other,Section 95,Subsistence Only,South West,5
2014-03-31,Albania,Europe Other,Section 95,Subsistence Only,Unknown,2
2014-03-31,Albania,Europe Other,Section 95,Subsistence Only,West Midlands,2
2014-03-31,Albania,Europe Other,Section 95,Subsistence Only,Yorkshire and The Humber,1
2014-03-31,Algeria,Africa North,Section 95,Dispersed Accommodation,East Midlands,19
2014-03-31,Algeria,Africa North,Section 95,Dispersed Accommodation,East of England,5
2014-03-31,Algeria,Africa North,Section 95,Dispersed Accommodation,London,10
2014-03-31,Algeria,Africa North,Section 95,Dispersed Accommodation,North East,17
2014-03-31,Algeria,Africa North,Section 95,Dispersed Accommodation,North West,58
2014-03-31,Algeria,Africa North,Section 95,Dispersed Accommodation,Northern Ireland,7
2014-03-31,Algeria,Africa North,Section 95,Dispersed Accommodation,Scotland,14
2014-03-31,Algeria,Africa North,Section 95,Dispersed Accommodation,South East,4
